,sentence,label,data
0,On the Relationship Between Effectiveness and Accessibility,null,null
1,Leif Azzopardi,null,null
2,Department of Computing Science University of Glasgow United Kingdom,null,null
3,leif@dcs.gla.ac.uk,null,null
4,ABSTRACT,null,null
5,"Typically the evaluation of Information Retrieval (IR) systems is focused upon two main system attributes: efficiency and effectiveness. However, it has been argued that it is also important to consider accessibility, i.e. the extent to which the IR system makes information easily accessible. But, it is unclear how accessibility relates to typical IR evaluation, and specifically whether there is a trade-off between accessibility and effectiveness. In this poster, we empirically explore the relationship between effectiveness and accessibility to determine whether the two objectives i.e. maximizing effectiveness and maximizing accessibility, are compatible, or not. To this aim, we empirically examine this relationship using two popular IR models and explore the trade-off between access and performance as these models are tuned.",null,null
6,Categories and Subject Descriptors: H.3.3 Information Storage and Retrieval - Retrieval Models,null,null
7,"General Terms: Theory, Experimentation",null,null
8,"Keywords: Information Retrieval, Accessibility, Findability, Retrievability, Evaluation",null,null
9,1. INTRODUCTION,null,null
10,"Historically, there have been two main ways to evaluate an Information Retrieval (IR) system: efficiency and effectiveness [7]. A complementary and so-called higher order evaluation has been recently proposed based on accessibility [1]. Instead of assessing how well the system performs in terms of speed or performance, access-based measures provide an indication of how easily documents within the collection can be retrieved using a particular retrieval system [1]. Evaluations based on accessibility have been performed in a number of different contexts (see [2, 6, 3, 4]), but there has been little work examining the relationship between accessbased measures and effectiveness measures.",null,null
11,2. MEASURING ACCESSIBILITY,null,null
12,"The accessibility of information in a collection given a system has been considered from two points of view, the system side i.e. retrievability [2] and the user side findability [6]. Retrievability measures provide an indication of how easily a",null,null
13,"Copyright is held by the author/owner(s). SIGIR'10, July 19­23, 2010, Geneva, Switzerland. ACM 978-1-60558-896-4/10/07.",null,null
14,Richard Bache,null,null
15,Department of Computing Science University of Glasgow United Kingdom,null,null
16,bache@dcs.gla.ac.uk,null,null
17,"document could be retrieved using a given IR system, while findability measures provide an indication of how easily a document can be found by a user with the IR system. Here we consider the accessibility measures based on retrievability (see [2] for more details and [3, 4] for examples of its usage in practice.)",null,null
18,"Retrievability: The retrievability r(d) of a document d with respect to an IR system, is the ease with which it can be retrieved given all possible queries Q1. Formally,",null,null
19,X,null,null
20,"r(d)  f (kdq, c)",null,null
21,(1),null,null
22,qQ,null,null
23,"where q is a query in Q, kdq is the rank at which d is retrieved given q, and f (kdq, c) is a function which denotes how accessible the document d is for the query q given the rank cutoff c. A simple measure of retrievability employs an access function f (kdq, c), such that if d is retrieved in the top c documents given q, then f (kdq, c) ,"" 1 else f (kdq, c) "","" 0. This is referred to as a cumulative-based retrievability measure [2]; and it provides an intuitive value for each document, i.e. it is the number of times that the document is retrieved in the top c documents. To provide a single measure of access given the retrievability scores for all documents, the Gini measure [5] was proposed in [2]. Intuitively, if all documents were equally accessible according to r(d), then the Gini would be zero (equality), while if all but one document had r(d) "","" 0 then the Gini would be one (total inequality). Usually, most documents have some level of retrievability and the Gini measures is somewhere between zero and one. Essentially, the Gini coefficient provides an indication of the level of inequality between documents given how easily they can be retrieved with a particular retrieval system.""",null,null
24,"It is important to note that retrievability can be estimated without recourse to relevance judgments, making it an attractive alternative for automatic evaluation. That is, if there is a positive correlation between accessibility and effectiveness based measures.",null,null
25,"Relating Retrievability and Effectiveness: Given the definition of retrievability then a purely random IR system would provide equal access to all documents (i.e. Gini,""0); however, this would also result in very poor effectiveness. While, if a (hypothetical) IR system retrieved the set of known relevant documents, and only these documents, regardless of the query, then there would be a very high inequality among documents and Gini would be close to one.""",null,null
26,"1Since we cannot know the set of all the possible queries, it is usually approximated using a large (order of 105) set of automatically generated queries[2, 3, 4].",null,null
27,889,null,null
28,"Neither extreme is desirable, but to what extent do we need to trade-off retrievability for effectiveness. In this poster, we examine the relationship between the Gini measure (i.e. the summarized retrievability measure) and precision, by examining the change in each measure as the parameter values of different retrieval models are varied.",null,null
29,"Experimental Setup Two TREC collections were used: Associated Press (AP) 1988-1989 and Wall Street Journal (WSJ) 1987-1992, both with TREC query sets 1, 2 and 3. Two popular IR models were selected: Multinomial Language Modelling with Bayes Smoothing and Okapi BM25. For Language modelling, the smoothing parameter  was varied from 10-4 to 105 in multiplicative steps of 10. For BM25, the b parameter, which adjusts length normalisation, was varied from 0.1 to 1.0 in steps of 0.1. Effectiveness was measured using both precision at 10 (P@10) and mean average precision (MAP). To estimate retrievability, the same methodology employed in [2] was applied, where we used 100,000 two-word queries derived from the most frequent collocations found in each corpus to estimate the retrievability values. Retrievability was measured using the cumulative measure (described above) where c , 10 and c ,"" 100. The degree of equality was measured using the Gini coefficient denoted as Gini@10 and Gini@100, respectively.""",null,null
30,"Results In Figure 1, plots of the different measures are shown for each model (top: Language Model, bottom: BM25) and each collection (left: AP, right: WSJ) across the parameter values. From these plots, the first point of interest is that Gini varies considerably across the parameter ranges for both models, where minimizing the Gini coefficient translates into providing more access to documents in the collection (this is around  , 10 - 100 for the Language Model and b ,"" 0.6 - 0.8 for BM25. Of note, is that the suggested/default value for b is usually 0.75, which is well within this range.). While this does not directly correspond to when performance is maximized, the difference in performance is quite small; in the range of (0.01-0.03 for both P@10 and MAP). While, these differences in performance were significantly difference (p < 0.05 using Student's T-test) for all but BM25 on WSJ, there does appear to be a positive correlation between the two measures, and this opens up the possibility of using access based measures to tune retrieval systems. These findings suggest that a systematic relationship appears to exist between the gini measurements (representing Accessibility) and the precision measurements (representing Effectiveness).""",null,null
31,3. DISCUSSION AND FURTHER WORK,null,null
32,"This preliminary analysis of the relationship between accessibility measures (specifically retrievability measures) and effectiveness measures shows that the two goals of maximizing access and maximizing performance are quite compatible. In fact, reasonably good retrieval performance is still obtained by selecting parameters that maximize access (i.e. when there is the least inequality between documents according to Gini given the r(d) values). This motivates the hypothesis that retrieval models/systems can be effectively tuned using access based measures. If this holds, then it suggests that when relevance information is not available a sensible approach to configuring a system is to ensure that users can access all documents as easily as possible. However, further research is needed to test this hypothesize more",null,null
33,Precision/Gini,null,null
34,Precision/Gini,null,null
35,"conclusively and to explore this interesting and complex relationship in detail. In future work, we shall examine different models, and the influence of the different parameters on access and performance.",null,null
36,"Acknowledgments: This work is supported by Matrixware. We would like to thank the Information Retrieval Facility for the use of their computing resources, and Tamara Polajnar for her helpful feedback and comments on this work.",null,null
37,0.8,null,null
38,1,null,null
39,0.6,null,null
40,0.8,null,null
41,Precision/Gini,null,null
42,0.6 0.4,null,null
43,0.4,null,null
44,0.2,null,null
45,0.2,null,null
46,0,null,null
47,10-4,null,null
48,10-2,null,null
49,100,null,null
50,102,null,null
51,104,null,null
52,LM Parameter  - AP,null,null
53,0,null,null
54,10-4,null,null
55,10-2,null,null
56,100,null,null
57,102,null,null
58,104,null,null
59,LM Parameter  - WSJ,null,null
60,0.8,null,null
61,P@10,null,null
62,MAP,null,null
63,0.7,null,null
64,Gini@10,null,null
65,0.5,null,null
66,Gini@100,null,null
67,0.6,null,null
68,Precision/Gini,null,null
69,0.4,null,null
70,0.5,null,null
71,0.4 0.3,null,null
72,0.3,null,null
73,0.2,null,null
74,0.2 0.4 0.6 0.8,null,null
75,1,null,null
76,BM25 Parameter b - AP,null,null
77,0.2,null,null
78,0.2 0.4 0.6 0.8,null,null
79,1,null,null
80,BM25 Parameter b - WSJ,null,null
81,Figure 1: Plots of Precision and Gini measures across parameters for the LM and BM25 models.,null,null
82,4. REFERENCES,null,null
83,"[1] L. Azzopardi and V. Vinay. Accessibility in IR. In Proceedings of 30th ECIR 2008, 482­489, 2008.",null,null
84,"[2] L. Azzopardi and V. Vinay. Retrievability: An evaluation measure for higher order information access tasks. In Proceedings of the 17th ACM CIKM 2008, 561­570, 2008.",null,null
85,"[3] S. Bashir and A. Rauber. Improving retrievability of patents with cluster-based pseudo-relevance feedback documents selection. In Proceedings of the 18th ACM CIKM 2009, 1863­1866, 2009.",null,null
86,"[4] S. Bashir and A. Rauber. Improving retrievability of patents in prior-art search. In Proceedings of 32nd ECIR 2010, 457­470, 2010.",null,null
87,"[5] J. Gastwirth. The estimation of the lorenz curve and gini index. The Review of Economics and Statistics, 54:306­316, 1972.",null,null
