,sentence,label,data
,,,
0,On Judgments Obtained from a Commercial Search Engine,null,null
,,,
1,"Emine Yilmaz, Gabriella Kazai",null,null
,,,
2,"Microsoft Research Cambridge, UK",null,null
,,,
3,"{eminey,v-gabkaz }@microsoft.com",null,null
,,,
4,"Nick Craswell, S.M.M. Tahaghoghi",null,null
,,,
5,"Microsoft, Bellevue, WA, USA",null,null
,,,
6,"{nickcr,saied.tahaghoghi}@microsoft.com",null,null
,,,
7,ABSTRACT,null,null
,,,
8,"In information retrieval, relevance judgments play an important role as they are used for evaluating the quality of retrieval systems. Numerous papers have been published using judgments obtained from a commercial search engine by researchers in industry. As typically no information is provided about the quality of these judgments, their reliability for evaluating retrieval systems remains questionable. In this paper, we analyze the reliability of such judgments for evaluating the quality of retrieval systems by comparing them to judgments by NIST judges at TREC.",null,null
,,,
9,Categories and Subject Descriptors,null,null
,,,
10,H.3 [Information Storage and Retrieval]: H.3.3[Information Search and Retrieval],null,null
,,,
11,General Terms,null,null
,,,
12,"Experimentation, Human Factors, Measurement",null,null
,,,
13,Keywords,null,null
,,,
14,"Crowdsourcing, Evaluation, Test Collection",null,null
,,,
15,1. INTRODUCTION,null,null
,,,
16,"In information retrieval (IR), test collections are typically used to evaluate and optimize the performance of IR systems. The quality of a test collection can impact the conclusions of the evaluation, where the quality of the relevance judgments is a key factor. For example, evaluation outcomes are shown to be affected by using different judge populations [1] and different judging guidelines [3]. On the other hand, using different judges from the same population of NIST judges employed by TREC has been shown to lead to relatively stable conclusions as to which retrieval algorithm beats another [4].",Y,null
,,,
17,"In recent years, several papers using judgments obtained from a commercial search engine have been published [2]. Most of these papers use such judgments (which are typically not publicly available) to validate the superiority of their proposed methods over existing algorithms. Since judges employed by commercial search engine companies are likely to come from different populations than NIST judges and are likely to be subjected to different training and judging",null,null
,,,
18,"Copyright is held by the author/owner(s). SIGIR'12, August 12­16, 2012, Portland, Oregon, USA. ACM 978-1-4503-1472-5/12/08.",null,null
,,,
19,"procedures, we may reason that judgments from a commercial search engine are likely to lead to different conclusions than judgments from NIST judges.",null,null
,,,
20,"We analyze whether judgments obtained from a commercial search engine are reliable, in terms of leading to the same evaluation conclusions as when using NIST judgements.",null,null
,,,
21,2. EXPERIMENTAL RESULTS,null,null
,,,
