,sentence,label,data
,,,
0,On the Information Difference between Standard Retrieval Models,null,null
,,,
1,Peter B. Golbus and Javed A. Aslam College of Computer and Information Science,null,null
,,,
2,"Northeastern University Boston, MA, USA",null,null
,,,
3,"pgolbus,jaa@ccs.neu.edu",null,null
,,,
4,ABSTRACT,null,null
,,,
5,"Recent work introduced a probabilistic framework that measures search engine performance information-theoretically. This allows for novel meta-evaluation measures such as Information Difference, which measures the magnitude of the difference between search engines in their ranking of documents. for which we have relevance information. Using Information Difference we can compare the behavior of search engines--which documents the search engine prefers, as well as search engine performance--how likely the search engine is to satisfy a hypothetical user. In this work, we a) extend this probabilistic framework to precision-oriented contexts, b) show that Information Difference can be used to detect similar search engines at shallow ranks, and c) demonstrate the utility of the Information Difference methodology by showing that well-tuned search engines employing different retrieval models are more similar than a well-tuned and a poorly tuned implementation of the same retrieval model.",null,null
,,,
6,Categories and Subject Descriptors,null,null
,,,
7,H.3.4 [Information Storage and Retrieval]: Systems and Software--Performance evaluation (efficiency and effectiveness),null,null
,,,
8,Keywords,null,null
,,,
9,Information Retrieval; Search Evaluation,null,null
,,,
10,1. INTRODUCTION,null,null
,,,
11,"One of the ways search engines are compared is by computing the magnitude of the difference between their performance using some IR evaluation measure. These measures attempt to quantify the satisfaction of a hypothetical user of a search engine. This is crucial information about a search engine, but it does not necessarily provide a great deal of insight into search engine behavior --which documents does the search engine prefer and why? For example it is possible",null,null
,,,
12,"Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than ACM must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from permissions@acm.org. SIGIR'14, July 6­11, 2014, Gold Coast, Queensland, Australia. Copyright 2014 ACM 978-1-4503-2257-7/14/07 ...$15.00. http://dx.doi.org/10.1145/2600428.2609528.",null,null
,,,
13,"for two search engines to retrieve wildly different documents, or to rank similar documents in a very different order, and yet receive the same score from an evaluation metric, even a diversity metric such as ERR-IA [3]. It is equally possible for two ranked lists to be highly similar and yet for one system to have a much greater performance than the other.",null,null
,,,
14,"Recently, Golbus and Aslam [2] introduced a probabilistic framework that measures performance informationtheoretically. The advantage of this approach is that it provides additional novel interpretations beyond simply estimating user satisfaction. For example, the authors defined Information Difference, which measures the magnitude of the difference between systems in their ranking of documents for which we have relevance information. The authors demonstrated that Information Difference can be used to detect similar search engines whereas performance deltas cannot.",null,null
,,,
15,"However, the probabilistic framework underlying Information Difference required a recall-oriented approach and was evaluated at rank 1000. This leads to the concerns that Information Difference detected the similarities between systems based on the uninteresting long ""tail"" of the ranked lists. In this work, we a) adapt the probabilistic framework to precision-oriented tasks at shallow ranks. We demonstrate that b) even when evaluated at rank 20, Information Difference is still able to detect similar systems with high accuracy. Therefore, Information Difference relies on whether systems choose the same highly relevant documents at the top. Finally, we c) demonstrate the utility of the Information Difference methodology by showing that well-tuned search engines employing different retrieval models are more similar than a well-tuned and a poorly-tuned implementation of a retrieval model, i.e. that a well-tuned instantiation of BM25 is more similar to a well-tuned instantiation of a language model than it is to a poorly tuned instantiation of BM25.",null,null
,,,
16,2. INFORMATION DIFFERENCE,null,null
,,,
17,"In this section, we provide an overview of the Information Difference methodology described in [2].",null,null
,,,
18,"Mathematically, one can view a search system as providing a total ordering of the documents ranked and a partial ordering of the entire collection, where all ranked documents are preferred to unranked documents but the relative preference among the unranked documents is unknown. Similarly, one can view relevance assessments--commonly referred to as QRELs--as providing a partial ordering of the entire collection: in the case of binary relevance assessments, for exam-",null,null
,,,
19,1135,null,null
,,,
20,"ple, all judged relevant documents are preferred to all judged non-relevant and unjudged documents, but the relative preferences among the relevant documents and among the nonrelevant and unjudged documents is unknown. Thus, mathematically, one can view retrieval evaluation as comparing the partial ordering of the collection induced by the search system with the partial ordering of the collection induced by the relevance assessments.",null,null
,,,
21,"Golbus and Aslam described a probabilistic framework within which to compare two such orderings, defined in terms of three things: (1) a sample space of objects, (2) a distribution over this sample space, and (3) random variables over this sample space. For example, Golbus and Aslam defined a new evaluation measure, Relevance Information Correlation in the following way. Let the sample space,  ,"" {(di, dj) | rel(di) "","" rel(dj)}, be the set of all ordered pairs of judged documents with different relevance grades. Let P "", U be the uniform probability distribution over all such pairs of documents. We define a QREL variable Q over ordered pairs of documents as",null,null
,,,
22,"Q [(di, dj )] ,",null,null
,,,
23,1 0,null,null
,,,
24,if rel(gi) > rel(gj) otherwise.,null,null
,,,
25,-1,null,null
,,,
26,The ranked list variable R is computed by truncating the list at the last retrieved relevant document. Let ri represent the rank of document di.,null,null
,,,
27," 1  R [(di, dj)] , 0",null,null
,,,
28,-1,null,null
,,,
29,if ri < rj if neither di nor djwere retrieved (2) otherwise.,null,null
