,sentence,label,data
,,,
0,Using Score Differences for Search Result Diversification,null,null
,,,
1,Sadegh Kharazmi Mark Sanderson Falk Scholer,null,null
,,,
2,"RMIT University & NICTA, Melbourne, Australia",null,null
,,,
3,"{sadegh.kharazmi, mark.sanderson, falk.scholer}@rmit.edu.au",null,null
,,,
4,David Vallet,null,null
,,,
5,"NICTA, Sydney, Australia",null,null
,,,
6,david.vallet@nicta.com.au,null,null
,,,
7,ABSTRACT,null,null
,,,
8,"We investigate the application of a light-weight approach to result list clustering for the purposes of diversifying search results. We introduce a novel post-retrieval approach, which is independent of external information or even the full-text content of retrieved documents; only the retrieval score of a document is used. Our experiments show that this novel approach is beneficial to effectiveness, albeit only on certain baseline systems. The fact that the method works indicates that the retrieval score is potentially exploitable in diversity.",null,null
,,,
9,Categories and Subject Descriptors,null,null
,,,
10,"H.3.3 [Information Storage and Retrieval]: Information Search and Retrieval­retrieval models, search process",null,null
,,,
11,General Terms,null,null
,,,
12,"Algorithm, Theory, Experimentation",null,null
,,,
13,Keywords,null,null
,,,
14,Diversity; Score Difference; Clustering,null,null
,,,
15,1. INTRODUCTION,null,null
,,,
16,"User queries submitted to an Information Retrieval (IR) system are often ambiguous at different levels [7]. To address such ambiguity, IR systems attempt to diversify search results, so that they cover a wide range of possible interpretations (aspects, intents or subtopics) of a query. Consequently, the number of redundant items in a search result list should be decreased, while the likelihood that a user will be satisfied with any of the displayed results should become higher.",null,null
,,,
17,"In traditional IR, the estimated relevance of a document, which is used to determine the ranking of search results, depends primarily on query-document similarity. In diversified retrieval, search result rankings are based not only on querydocument similarity, but also on the other documents that",null,null
,,,
18,"Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than the author(s) must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from permissions@acm.org. SIGIR'14, July 6­11, 2014, Gold Coast, Queensland, Australia. Copyright is held by the owner/author(s). Publication rights licensed to ACM. ACM 978-1-4503-2257-7/14/07 ...$15.00. http://dx.doi.org/10.1145/2600428.2609530.",null,null
,,,
19,"have been retrieved prior to the current document under consideration (i.e., document-document similarity).",null,null
,,,
20,"Many of the proposed diversification techniques take a greedy approach, comparing a document to all previously retrieved documents, or the subtopics of a query. Also, they may use additional information, such as past user interactions, to identify which of the possible subtopics of a query are more likely to be interesting to the user. Most effective diversification approaches in the literature use techniques that focus on coverage, favoring documents that cover as many novel subtopics of a query as possible. This is in contrast to earlier techniques that focus on novelty, estimating the newness of a document with respect to those already retrieved. Novelty-based techniques usually exploit implicit information, such as differences in document content.",null,null
,,,
21,"One source of implicit information derived from search results that appears to have never been investigated are differences in retrieval scores: score differences. Retrieval systems will usually, in response to a query, return a list of documents sorted by a relevance score, indicating the degree to which a query and document match. When analyzing a retrieved document list, the differences between the scores of adjacent retrieved documents differ, and this variation might be exploitable. Two documents that receive similar relevance scores are likely to share similar features; they might therefore address the same subtopics of a user's query. Conversely, two adjacent documents that have a large score difference are likely to have fewer features in common, which suggests that the documents might cover different query subtopics.",null,null
,,,
22,Our research question is to ask if we can exploit score differences to help with search result diversification.,null,null
,,,
23,"We develop a simple non-greedy diversification approach that uses differences between the scores of the initially retrieved documents. The approach is experimentally investigated using the TREC framework, comparing to baselines and state-of-the-art diversification approaches.",null,null
,,,
24,2. RELATED WORK,null,null
,,,
25,"There are two key approaches to diversifying search results, based on explicit or implicit evidence [9]. The explicit approaches [1, 10] match retrieved documents to the subtopics of a query, which are ""pre-derived"" from external sources such as a query log or taxonomies. Implicit approaches attempt to diversify based on a representation of already-retrieved documents.",null,null
,,,
26,"Maximal Marginal Relevance (MMR) [2] is perhaps the most widely-studied implicit approach. Here, a diverse set of",null,null
,,,
27,1143,null,null
,,,
28,"results (S) is built incrementally from an initial retrieved list (R). The results are picked from R using a greedy approach where, in each iteration, the document that is most novel is selected. Novelty in this case is defined as the mean contentbased dissimilarity between the candidate document and the already selected documents in S. A tuning parameter  defines the trade-off between relevance and diversity.",null,null
,,,
29,"Inspired by Modern Portfolio Theory (MPT) in finance, Wang et al. introduced a new implicit approach that analyses the expected mean and variance of the return of a portfolio [11]. Facility Location Analysis (FLA) was introduced by Zuccon et.al [12] to improve the MPT approach.",null,null
,,,
30,"Explicit approaches are focused on query subtopics, which can be derived from a pre-defined taxonomy such as the Open Directory Project1 (ODP), internal document features, query logs, or online resources [1, 8, 9]. The two most effective explicit diversification approaches are xQuAD [10] and IASelect [1].",null,null
,,,
31,All of these approaches use an iterative greedy selection approach to rank the most diverse documents.,null,null
,,,
32,3. SCORE DIFFERENCES,null,null
,,,
33,"We hypothesize that documents with similar features (e.g., content, aspects covered, length) will be allocated (by ranking functions) similarity scores that are close together. Conversely, documents with different features are likely to be allocated similarity scores that are further apart.",null,null
,,,
34,"Let D1, D2, . . . , DN be an initial ranking of documents which are ordered by a ranking function s(D), and  be a difference threshold parameter. Then if",null,null
,,,
35,|s(Di) - s(Di+1)| <  s(Di+1),null,null
,,,
36,"we assume that the documents cover the same query subtopic. If the value is  , it indicates that the two documents belong to different subtopics.",null,null
,,,
37,"To test our hypothesis, we set up an experiment to measure the score differences between pairs of adjacent ranked documents that either covered the same or different subtopics of a query. We used the documents, queries, and diversity relevance judgments from the TREC 2009­2011 Web Tracks [3, 4]. Documents were ranked using the Dirichletsmoothed language model from the Indri IR system2 with default parameter settings. The query subtopics covered by individual answer documents are defined in the TREC relevance judgments. All non-relevant documents were assigned to an extra ""non-relevant"" subtopic. In total, 148 topics (TREC Web Track 2009, 2010 and 2011 queries) were used and for each topic, and pairs of documents in the top 100 positions in a ranked list were examined.",Y,null
,,,
38,"We tested the Language Modeling (LM) and Okapi BM25 ranking functions, which are widely used in retrieval research, and have been shown to be effective ranking functions [6]. First, using language modelling as the ranking function to score documents, our analysis shows that for pairs of documents where there is no change in subtopic, the mean measured score difference is 0.065. Conversely, when the subtopic changes, the mean difference in scores is 0.073. Although the differences are small, a pairwise permutation test indicates that they are statistically significant (p",Y,null
,,,
39,"1http://www.dmoz.org/ 2Version 5.2, http://lemurproject.org/indri.php",null,null
,,,
40,< 0.01). This analysis suggests that score differences have the potential to be used as a technique to help with result diversification.,null,null
,,,
41,"We repeated the same experiment using BM25. The mean measured score difference when there is no change in subtopic is 0.069, versus 0.071 when the subtopic changes. A pairwise permutation test indicates that these differences are not statistically significant. We therefore hypothesise that score differences are less likely to work well when the BM25 ranking function is used as a base run.",null,null
,,,
42,4. DIVERSIFYING RESULTS USING SCORE DIFFERENCES,null,null
,,,
43,"To apply the score differences technique for result diversification, first, the score difference between each pair of documents, starting at rank position 1, was calculated. The top 100 documents were then re-ranked by decreasing size of the score difference between each document and the document above it. The documents with the biggest difference between the paired documents would now be top ranked, and they should be documents covering different subtopics.",null,null
,,,
44,"After some experimentation with this simple approach, we found that it was better to re-rank documents based on a linear combination of the rank positions in the initial ranking and score differences, as shown in Algorithm 1. This approach to diversification, RankScoreDiff, does not use any information apart from the similarity scores from an initial retrieval run. It is therefore an implicit diversification approach.",null,null
,,,
45,Algorithm 1 RankScoreDiff(L),null,null
,,,
46,L  ScoreDiff(L),null,null
,,,
47,for 1 < i  |L| do,null,null
,,,
48,Score(L[i]),null,null
,,,
49,1 Rank(L[i]),null,null
,,,
50,+,null,null
,,,
51,1 Rank(L,null,null
,,,
52,[i]),null,null
,,,
53,end for,null,null
,,,
54,Sort L on Score(L[i]),null,null
,,,
55,5. EXPERIMENTAL SETUP,null,null
,,,
56,"We investigated the effectiveness of RankScoreDiff as a diversification approach using the diversity task framework of the TREC Web Track from 2009­2011, which comprises 148 queries. Results are reported over the Clueweb category B collection. The Clueweb Online Services3 were used to retrieve the top 100 documents for each query, using the same ranking functions and version of Indri described in Section 3. The top 100 documents were diversified using the methods under test.",Y,null
,,,
57,"Effectiveness was measured with -nDCG, a widely-used metric that incorporates both relevance and diversity into a single score. The parameter , which sets the relative importance of these two evaluation considerations, was set to 0.5, as recommended by the creators of the measure [5]. In the subsequent presentation of results, two-tailed paired t-tests are used to evaluate statistical significance.",null,null
,,,
58,5.1 Implementation and Tuning,null,null
,,,
59,"For diversity approaches that require explicitly defined subtopics as an input (xQuAD and IASelect), two sources of",null,null
,,,
60,3http://boston.lti.cs.cmu.edu/Services/,null,null
,,,
61,1144,null,null
,,,
