,sentence,label,data
,,,
0,Necessary and Frequent Terms in Queries,null,null
,,,
1,Jiepu Jiang,null,null
,,,
2,Center for Intelligent Information Retrieval School of Computer Science,null,null
,,,
3,University of Massachusetts Amherst,null,null
,,,
4,jpjiang@cs.umass.edu,null,null
,,,
5,James Allan,null,null
,,,
6,Center for Intelligent Information Retrieval School of Computer Science,null,null
,,,
7,University of Massachusetts Amherst,null,null
,,,
8,allan@cs.umass.edu,null,null
,,,
9,ABSTRACT,null,null
,,,
10,"Vocabulary mismatch has long been recognized as one of the major issues affecting search effectiveness. Ineffective queries usually fail to incorporate important terms and/or incorrectly include inappropriate keywords. However, in this paper we show another cause of reduced search performance: sometimes users issue reasonable query terms, but systems cannot identify the correct properties of those terms and take advantages of the properties. Specifically, we study two distinct types of terms that exist in all search queries: (1) necessary terms, for which term occurrence alone is indicative of document relevance; and (2) frequent terms, for which the relative term frequency is indicative of document relevance within the set of documents where the term appears. We evaluate these two properties of query terms in a dataset. Results show that only 1/3 of the terms are both necessary and frequent, while another 1/3 only hold one of the properties and the final third do not hold any of the properties. However, existing retrieval models do not clearly distinguish terms with the two properties and consider them differently. We further show the great potential of improving retrieval models by treating terms with distinct properties differently.",null,null
,,,
11,Categories and Subject Descriptors,null,null
,,,
12,"H.3.3 [Information Storage and Retrieval]: Information Search and Retrieval ­ query formulation, retrieval models.",null,null
,,,
13,General Terms,null,null
,,,
14,"Performance, Experimentation, Human Factors.",null,null
,,,
15,Keywords,null,null
,,,
16,Query; term frequency; term occurrence.,null,null
,,,
17,1. INTRODUCTION,null,null
,,,
18,"Term frequency (TF) is widely used as an important heuristic in retrieval models [1­3]. The assumption is that documents with comparatively higher frequencies of query terms are more likely to be relevant. However, we suspect that in many cases this assumption does not hold. Instead, users may adopt some query terms to simply include or exclude documents regardless of the occurrences of the terms ­ that is, in those cases TF does not indicate the relevance of documents as long as the terms appear. In such cases, retrieval models that heavily exploit TF may",null,null
,,,
19,"Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than the author(s) must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from Permissions@acm.org. SIGIR'14, July 06­11, 2014, Gold Coast, QLD, Australia. Copyright is held by the owner/author(s). Publication rights licensed to ACM. ACM 978-1-4503-2257-7/14/07 $15.00. http://dx.doi.org/10.1145/2600428.2609536",null,null
,,,
20,incorrectly rank some non-relevant documents with high frequencies of the terms to the top.,null,null
,,,
21,"We define the following two properties of query terms. We say that a term is necessary to a topic if most relevant documents contain the term. Documents with no occurrences of the necessary term are unlikely to be relevant. In comparison, we say that a term is frequent to a topic if relevant documents usually have relatively more occurrences of the term comparing to the non-relevant ones. Documents in which the frequent term appears many times are more likely relevant compared to those where the term appears less frequently. Note that the two properties do not conflict with each other: a term can be both necessary and frequent.",null,null
,,,
22,"We hypothesize that both necessary and frequent terms exist in user queries, but some query terms may only conform to one of the two properties. We study the following research questions:",null,null
,,,
23,RQ1: Do query terms differ with respect to the two properties? We examine the two properties of query terms in a dataset based on term occurrences in relevant and non-relevant documents.,null,null
,,,
