,sentence,label,data
0,What Makes Data Robust: A Data Analysis in Learning to Rank,null,null
1,"Shuzi Niu, Yanyan Lan, Jiafeng Guo, Xueqi Cheng, and Xiubo Geng",null,null
2,"Institute of Computing Technology, Chinese Academy of Sciences, Beijing, P. R. China",null,null
3,"{niushuzi,gengxiubo}@software.ict.ac.cn, {lanyanyan,guojiafeng,cxq}@ict.ac.cn",null,null
4,ABSTRACT,null,null
5,"When applying learning to rank algorithms in real search applications, noise in human labeled training data becomes an inevitable problem which will affect the performance of the algorithms. Previous work mainly focused on studying how noise affects ranking algorithms and how to design robust ranking algorithms. In our work, we investigate what inherent characteristics make training data robust to label noise. The motivation of our work comes from an interesting observation that a same ranking algorithm may show very different sensitivities to label noise over different data sets. We thus investigate the underlying reason for this observation based on two typical kinds of learning to rank algorithms (i.e. pairwise and listwise methods) and three different public data sets (i.e. OHSUMED, TD2003 and MSLR-WEB10K). We find that when label noise increases in training data, it is the document pair noise ratio (i.e. pNoise) rather than document noise ratio (i.e. dNoise) that can well explain the performance degradation of a ranking algorithm.",null,null
6,Categories and Subject Descriptors,null,null
7,H.3.3 [Information Search and Retrieval]: Retrieval models,null,null
8,General Terms,null,null
9,Experimentation,null,null
10,Keywords,null,null
11,Learning to Rank; Label Noise; Robust Data,null,null
12,1. INTRODUCTION,null,null
13,"Learning to rank has gained much attention in recent years, especially in information retrieval [11]. When applying learning to rank algorithms in real Web search applications, a collection of training data is usually constructed, where human judges assign relevance labels to a document",null,null
14,"Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than ACM must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from permissions@acm.org. SIGIR'14, July 6­11, 2014, Gold Coast, Queensland, Australia. Copyright 2014 ACM 978-1-4503-2257-7/14/07 ...$15.00. http://dx.doi.org/10.1145/2600428.2609542.",null,null
15,"with respect to a query under some pre-defined relevance judgment guideline. In real scenario, the ambiguity of query intent, the lack of domain knowledge and the vague definition of relevance levels all make it difficult for human judges to give reliable relevance labels to some documents. Therefore, noise in human labeled training data becomes an inevitable issue that will affect the performance of learning to rank algorithms.",null,null
16,"An interesting observation is that the performance degradation of ranking algorithms may vary largely over different data sets with the increase of label noise. On some data sets, the performances of ranking algorithms decrease quickly, while on other data sets they may hardly be affected with the increase of noise. This motivated us to investigate the underlying reason why different training data sets show different sensitivities to label noise. Previous work either only observed how noise in training data affects ranking algorithms [21, 2], or focused on how to design robust ranking algorithms to reduce the effect of label noise [17, 6]. So far as we know, this is the first work talking about data robustness to label noise in learning to rank.",null,null
17,"To investigate the underlying reasons for our observations, we conducted data analysis in learning to rank based on three public data sets, i.e. the OHSUMED and TD2003 data sets in LETOR3.0 [13], and the MSLR-WEB10K data set. There are multiple types of judging errors [9] and they leads to different noise distributions [19, 10], but a recent study shows that the learning performance of ranking algorithms is dependant on label noise quantities and has little relationship with label noise distributions [10]. Therefore we randomly injected label errors (i.e. label noise) into training data (with fixed test data) to simulate human judgment errors, and investigated the performance variation of the same ranking algorithm over different data sets. In this study, we mainly focus on the widely used pairwise and listwise learning to rank algorithms.",null,null
18,"We find that it is the document pair noise ratio (i.e. pNoise) rather than document noise ratio (i.e. dNoise) that can well explain the performance degradation of a ranking algorithm along with the increase of label noise. Here dNoise denotes the proportion of noisy documents (i.e. documents with error labels) to all the documents, while pNoise denotes the proportion of noisy document pairs (i.e. document pairs with wrong preference order) to all the document pairs. We show that the performance degradation of ranking algorithms over different data sets is quite consistent with respect to pNoise. It indicates that pNoise captures the intrinsic factor that determines the ranking performance. We also find the increase",null,null
19,1191,null,null
20,of pNoise w.r.t. dNoise varies largely over different data sets. This explains the original observation that the performance degradation of ranking algorithms varies largely over different data sets with the increase of label noise.,null,null
21,2. BACKGROUND,null,null
22,"Before we conduct data analysis in learning to rank, we first introduce related work and our experimental settings.",null,null
23,2.1 Related work,null,null
24,"How noise affects ranking algorithms has been widely studied in previous work. Voorhees [18] and Bailey et al. [2] show the relative order of ranking algorithms in terms of performance is actually quite stable despite of remarkable noise among human judgements. Recently various learning to rank algorithms have been proposed [7, 4, 22, 3]. Correspondingly, noise in training data has also attracted much attention in this area. Xu et al. [21] explored the effect of training data quality on learning to rank algorithms.",null,null
25,"There are also various approaches proposed to learn robust ranking models [6, 20]. Another solution to deal with noisy training set in learning to rank is to employ pre-processing mechanisms, such as ""pairwise preference consistency"" [5] and repeated labeling techniques [16].",null,null
26,"Similar to our work, there do exist a branch of studies on how to construct effective training data in learning to rank. They show us what characteristics of training data are needed to train a effective ranker [1, 8]. Especially, [12] makes an extensive analysis of the relation between the ranking performance and sample size. Different from existing work, our work focuses on investigating the inherent characteristics of training data related to noise sensitivity.",null,null
27,2.2 Experimental Setting,null,null
28,Here we present data sets and ranking algorithms used in our experiments.,null,null
29,"Data Sets. In our experiments, we use three public data sets in learning to rank, i.e. OHSUMED, TD2003 and MSLR-WEB10K, for training and evaluation. Among the three data sets, OHSUMED and TD2003 in LETOR3.0 [13] are constructed based on two widely used data collections in information retrieval respectively, the OHSUMED collection and "".gov"" collection for TREC 2003 topic distillation task respectively. MSLR-WEB10K is another data set released by Microsoft Research, where relevance judgments are obtained from a retired labeling set of a commercial Web search engine (i.e. Bing). We choose such three data sets for our experiments, since they have quite different properties described in Table 1. All the three data sets can be further divided into training set and test set with their ""standard partition"". In our experiments, all the evaluations are conducted using the 5-fold cross validation.",null,null
30,"Ranking Algorithms. In our work, we mainly focus on the widely applied pairwise and listwise learning to rank algorithms. We employ two typical pairwise learning to rank algorithms, namely RankSVM [7] and RankBoost [4], and two typical listwise learning to rank algorithms, namely ListNet [3] and AdaRank [22]. These algorithms are chosen not only because they belong to different categories of learning to ranking approaches (i.e. pairwise and listwise), but also because they adopt different kinds of ranking functions (i.e. linear and non-linear). Specifically, RankSVM and ListNet use a linear function for scoring, which can be repre-",null,null
31,"sented as f (x) ,"" w · x. Meanwhile, RankBoost and AdaRank""",null,null
32,are both ensemble methods that combine many weak rank-,null,null
33,"ipnrgesfsuendctaisonfs(.x)T,heir nnt,""o1n-litnheta(xr )r,awnkhienrge""",null,null
34,function ht(x) is,null,null
35,can the,null,null
36,be exchosen,null,null
37,weak ranking function at the t-th iteration.,null,null
38,3. DOCUMENT LABEL NOISE,null,null
39,"In this section, we first simulate the label noise in training data with the same noise injection method as [14, 21]. Then we show our basic observations on data sensitivities to label noise.",null,null
40,3.1 Noise Injection Method,null,null
41,"We take the original data sets as our ground truth (i.e. noise free data) in our experiments. To simulate label noise in real data sets, we randomly inject label errors into training data, while the test data is fixed. We randomly change some of the relevance labels to other labels uniformly. Since the noise is introduced at the document level, here we define the document noise ratio as the proportion of noisy documents (i.e. documents with error labels) to all the documents, referred to as dNoise. Given a dNoise , each query-document pair keeps its relevance label with probability 1 - , and changes its relevance label with probability . Note that with the simple noise injection method, we assume that human judgment errors are independent and equally possible in different grades. In practice, the possibility of judgment errors in different grades are not equal [15], which can be considered in our future work.",null,null
42,3.2 Basic Observations,null,null
43,"Here we show our basic observations which motivated our work. We consider the ranking performance variation in terms of MAP and NDCG@10 with dNoise from 0 to 0.5 with a step of 0.05. For each fold with a given dNoise, we will apply our noise injection method to a training set for 10 times, and obtain the average performance over the corresponding noise free test set. Each point in the performance curve is derived from the average over 5 folds in Figure 1.",null,null
44,"The performance degradation of ranking algorithms may vary largely over different data sets with the increase of dNoise. Take RankSVM for instance in Figure 1(a), its performance on TD2003 in terms of MAP (i.e. orange curve with up triangles) decreases quickly as the dNoise increases. Its performance on OHSUMED (i.e. black curve with up triangles) keeps stable for a long range of dNoise, and then drops. Its performance on MSLR-WEB10K (i.e. blue curve with up triangles) is hardly affected even though the dNoise reaches 0.5. The results are consistent in terms of NDCG@10 corresponding to three curves with circles in Figure 1(a). Besides, we can also observe very similar performance degradation behavior with the other three algorithms in Figure 1(b), (c) and (d). In fact, similar results can also been found in previous work [21], but such observations are not the main concern in their work.",null,null
45,"The above observations are actually contrary to the following two intuitions. 1)Degradation Intuition: For a machine learning algorithm, its performance usually would degrade along with the deterioration of the training data quality (i.e. increase of noise in the training data), no matter quickly or slowly. 2)Consistency Intuition: For a same machine learning algorithm, the performance degradation behavior against label noise usually would be similar across",null,null
46,1192,null,null
47,Data Sets OHSUMED,null,null
48,TD2003 MSLR-WEB10K,null,null
49,#queries 106 50,null,null
50,"10,000",null,null
51,Table 1: Detailed Statistics of Three Data Sets,null,null
52,#docs Ave. #docs/query #features relevance judgments,null,null
53,"16,140",null,null
54,152,null,null
55,45,null,null
56,"0,1,2",null,null
57,"49,058",null,null
58,981,null,null
59,64,null,null
60,"0,1",null,null
61,"1,200,192",null,null
62,120,null,null
63,136,null,null
64,"0,1,2,3,4",null,null
65,label proportions(%) 70:16:14 99.2:0.8,null,null
66,51.7:32.5:13.3:1.7:0.8,null,null
67,0.6,null,null
68,0.6,null,null
69,0.5,null,null
70,0.5,null,null
71,MAP-OHSUMED,null,null
72,N@10-OHSUMED,null,null
73,MAP-TD2003,null,null
74,N@10-TD2003,null,null
75,0.5,null,null
76,MAP-MSWEB10K,null,null
77,N@10-MSWEB10K,null,null
78,0.5,null,null
79,0.4,null,null
80,0.4,null,null
81,0.4,null,null
82,0.4,null,null
83,0.3,null,null
84,0.3,null,null
85,0.3,null,null
86,0.3,null,null
87,0.2,null,null
88,0.2,null,null
89,0.2,null,null
90,0.2,null,null
91,0.1,null,null
92,0.1,null,null
93,0.1,null,null
94,0.1,null,null
95,0.0 0.0 0.1 0.2 0.3 0.4 0.5,null,null
96,0.0 0.0 0.1 0.2 0.3 0.4 0.5,null,null
97,0.0 0.0 0.1 0.2 0.3 0.4 0.5,null,null
98,0.0 0.0 0.1 0.2 0.3 0.4 0.5,null,null
99,dNoise,null,null
100,dNoise,null,null
101,dNoise,null,null
102,dNoise,null,null
103,(a) RankSVM,null,null
104,(b) RankBoost,null,null
105,(c) ListNet,null,null
106,(d) AdaRank,null,null
107,Figure 1: Performance Evaluation against dNoise with four ranking algorithms in terms of MAP and NDCG@10,null,null
108,0.6,null,null
109,0.6,null,null
110,0.5,null,null
111,0.5,null,null
112,MAP-OHSUMED,null,null
113,N@10-OHSUMED,null,null
114,0.5,null,null
115,MAP-TD2003 MAP-MSWEB10K,null,null
116,N@10-TD2003 N@10-MSWEB10K,null,null
117,0.5,null,null
118,0.4,null,null
119,0.4,null,null
120,0.4,null,null
121,0.4,null,null
122,0.3,null,null
123,0.3,null,null
124,0.3,null,null
125,0.3,null,null
126,0.2,null,null
127,0.2,null,null
128,0.2,null,null
129,0.2,null,null
130,0.1,null,null
131,0.1,null,null
132,0.1,null,null
133,0.1,null,null
134,0.0 0.0 0.1 0.2 0.3 0.4 0.5,null,null
135,0.0 0.0 0.1 0.2 0.3 0.4 0.5,null,null
136,0.0 0.0 0.1 0.2 0.3 0.4 0.5,null,null
137,0.0 0.0 0.1 0.2 0.3 0.4 0.5,null,null
138,pNoise,null,null
139,pNoise,null,null
140,pNoise,null,null
141,pNoise,null,null
142,(a) RankSVM,null,null
143,(b) RankBoost,null,null
144,(c) ListNet,null,null
145,(d) AdaRank,null,null
146,Figure 2: Performance Evaluation against pNoise with four ranking algorithms in terms of MAP and NDCG@10,null,null
147,.,null,null
148,the data sets. A possible reason for the above results is that the label noise (i.e. dNoise) cannot properly characterize the deterioration of the training data quality in learning to rank. This brings us the following question: what is the true noise that affects the performances of ranking algorithms?,null,null
149,Table 2: Proportions of Predicted Positive Document Pairs,null,null
150,with a tie,null,null
151,RankSVM RankBoost ListNet AdaRank,null,null
152,OHSUMED,null,null
