,sentence,label,data
0,Evaluation of Machine-Learning Protocols for Technology-Assisted Review in Electronic Discovery,null,null
1,Gordon V. Cormack,null,null
2,University of Waterloo,null,null
3,gvcormac@uwaterloo.ca,null,null
4,Maura R. Grossman,null,null
5,"Wachtell, Lipton, Rosen & Katz",null,null
6,mrgrossman@wlrk.com,null,null
7,ABSTRACT,null,null
8,"Using a novel evaluation toolkit that simulates a human reviewer in the loop, we compare the effectiveness of three machine-learning protocols for technology-assisted review as used in document review for discovery in legal proceedings. Our comparison addresses a central question in the deployment of technology-assisted review: Should training documents be selected at random, or should they be selected using one or more non-random methods, such as keyword search or active learning? On eight review tasks ­ four derived from the TREC 2009 Legal Track and four derived from actual legal matters ­ recall was measured as a function of human review effort. The results show that entirely non-random training methods, in which the initial training documents are selected using a simple keyword search, and subsequent training documents are selected by active learning, require substantially and significantly less human review effort (P < 0.01) to achieve any given level of recall, than passive learning, in which the machine-learning algorithm plays no role in the selection of training documents. Among passive-learning methods, significantly less human review effort (P < 0.01) is required when keywords are used instead of random sampling to select the initial training documents. Among active-learning methods, continuous active learning with relevance feedback yields generally superior results to simple active learning with uncertainty sampling, while avoiding the vexing issue of ""stabilization"" ­ determining when training is adequate, and therefore may stop.",null,null
9,"Categories and Subject Descriptors: H.3.3 Information Search and Retrieval: Search process, relevance feedback.",null,null
10,Keywords: Technology-assisted review; predictive coding; electronic discovery; e-discovery.,null,null
11,The views expressed herein are solely those of the author and should not be attributed to her firm or its clients.,null,null
12,"Permission to make digital or hard copies of part or all of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage, and that copies bear this notice and the full citation on the first page. Copyrights for third-party components of this work must be honored. For all other uses, contact the authors. Copyright is held by the authors. SIGIR'14, July 6­11, 2014, Gold Coast, Queensland, Australia. ACM 978-1-4503-2257-7/14/07. http://dx.doi.org/10.1145/2600428.2609601.",null,null
13,1. INTRODUCTION,null,null
14,"The objective of technology-assisted review (""TAR"") in electronic discovery (""e-discovery"")1 is to find as nearly all of the relevant documents in a collection as possible, with reasonable effort. While this study does not presume to interpret the common-law notion of what is reasonable, it serves to quantify the tradeoff between how nearly all of the relevant documents can be found (as measured by recall), and the human effort needed to find them (as measured by the number of documents that must be manually reviewed, which translates into time and cost).",null,null
15,"In a typical review task, a ""requesting party"" prescribes relevance2 by way of a ""request for production,"" while the ""responding party,"" its adversary, is required to conduct a review and produce the responsive, non-privileged documents identified as a result of a reasonable search. A study by Grossman and Cormack [8] shows that two TAR methods can be both more effective and more efficient than traditional e-discovery practice, which typically consists of keyword or Boolean search, followed by manual review of the search results. One of these methods, due to Cormack and Mojdeh [7], employs machine learning in a protocol we refer to as Continuous Active Learning (""CAL""). The other method, due to H5 [13], does not employ machine learning, and therefore is not considered in this study.",null,null
16,"Often relying on Grossman and Cormack for support, many legal service providers have advanced TAR tools and methods that employ machine learning, but not the CAL protocol. These tools and methods, often referred to in the legal marketplace as ""predictive coding,"" follow one of two protocols which we denote Simple Active Learning (""SAL"") and Simple Passive Learning (""SPL""). Some tools that employ SAL have achieved superior results at TREC, but have never, in a controlled study, been compared to CAL. Tools that use SPL, while widely deployed, have not achieved superior results at TREC, and have not, in a controlled study, been compared to traditional methods, to SAL, or to CAL.",null,null
17,"1See Grossman and Cormack [10] for a glossary of terms pertaining to TAR. See Oard and Webber [16] for an overview of information retrieval for e-discovery. 2The IR term ""relevant"" generally describes a document sought by an information-retrieval effort, while the legal term ""responsive"" describes a document that satisfies the criteria set forth in a request for production. In this study, the terms are used interchangeably; however, in the context of litigation, relevance may take on a broader meaning than responsiveness.",null,null
18,153,null,null
19,"This study compares CAL, SAL, and SPL, and makes available a TAR evaluation toolkit3 to facilitate further comparisons. The results show SPL to be the least effective TAR method, calling into question not only its utility, but also commonly held beliefs about TAR. The results also show that SAL, while substantially more effective than SPL, is generally less effective than CAL, and as effective as CAL only in a best-case scenario that is unlikely to be achieved in practice.",null,null
20,2. THE TAR PROCESS,null,null
