,sentence,label,data
0,Estimating Global Statistics for Unstructured P2P Search in the Presence of Adversarial Peers,null,null
1,Sami Richardson,null,null
2,"Dept. of Computer Science University College London Gower St., London WC1E 6BT, UK",null,null
3,sami.richardson.10@ucl.ac.uk,null,null
4,Ingemar J. Cox,null,null
5,"Dept. of Computer Science University College London Gower St., London WC1E 6BT, UK",null,null
6,i.cox@ucl.ac.uk,null,null
7,ABSTRACT,null,null
8,"A common problem in unstructured peer-to-peer (P2P) information retrieval is the need to compute global statistics of the full collection, when only a small subset of the collection is visible to a peer. Without accurate estimates of these statistics, the effectiveness of modern retrieval models can be reduced. We show that for the case of a probably approximately correct P2P architecture, and using either the BM25 retrieval model or a language model with Dirichlet smoothing, very close approximations of the required global statistics can be estimated with very little overhead and a small extension to the protocol. However, through theoretical modeling and simulations we demonstrate this technique also greatly increases the ability for adversarial peers to manipulate search results. We show an adversary controlling fewer than 10% of peers can censor or increase the rank of documents, or disrupt overall search results. As a defense, we propose a simple modification to the extension, and show global statistics estimation is viable even when up to 40% of peers are adversarial.",null,null
9,Categories and Subject Descriptors,null,null
10,H.3.3 [Information Storage and Retrieval]: Information Search and Retrieval--Search process; H.3.4 [Information Storage and Retrieval]: Systems and Software--Distributed systems,null,null
11,Keywords,null,null
12,P2P IR; adversarial IR,null,null
13,1. INTRODUCTION,null,null
14,"Full-text search across peer-to-peer (P2P) networks has received considerable interest in recent years. P2P architectures can be classified as structured, where content is placed according to defined rules to allow for efficient retrieval, and unstructured, where there are no such rules. To guarantee",null,null
15,"Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than ACM must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from permissions@acm.org. SIGIR'14, July 6­11, 2014, Gold Coast, Queensland, Australia. Copyright 2014 ACM 978-1-4503-2257-7/14/07 ...$15.00. http://dx.doi.org/10.1145/2600428.2609567.",null,null
16,"finding content in an unstructured P2P network it is necessary to search all nodes. Communication costs typically make this infeasible, so search is probabilistic. The Probably Approximately Correct framework [10] was proposed to model the problem of probabilistic search in an unstructured distributed network. The PAC framework assumes that (i) nodes operate independently, (ii) each node indexes a subset of documents from the collection, (iii) the documents indexed are not disjoint across nodes, i.e. each document may be indexed on more than one node, and (iv) a query is performed by sampling a random subset of nodes and combining the results. The accuracy of a query is defined as the size of the intersection of the set of documents retrieved by a constrained, probabilistic search and the set that would have been retrieved by an exhaustive search, normalized by the size of the latter.",null,null
17,"A PAC architecture gracefully handles the churn associated with nodes joining and leaving the network. This is because the addition of any node compensates for the loss of any other. P2P networks comprised of volunteer nodes typically experience high levels of churn [18], and therefore may be a good match for a PAC architecture. One example is a PAC P2P web search engine, as proposed by Asthana et al [1]. They demonstrated, from a communications bandwidth perspective, the feasibility of using a PAC architecture to store an index of the world wide web on one million volunteer nodes, and to handle a query load equivalent to that seen by the Google web search engine.",null,null
18,"However, in a PAC architecture each node is only aware of the documents it indexes, and typically does not have access to the global statistics of the entire document collection that are often used by modern information retrieval models. Without these statistics, a node may not be able to correctly score and rank its documents when responding to a query. As a consequence, the accuracy of queries may not reach the level predicted by the PAC framework. In this paper we evaluate a solution that requires only a small modification to the PAC query procedure. When each node involved in a query returns a list of matching documents, we propose that it also returns information on statistics derived from its local index. After responses from all nodes have been received, this information is used to calculate an improved estimate of global statistics, and the retrieved documents are then scored and ranked again to form a new, potentially more accurate top-k result list. We test this technique with two examples of modern retrieval models, BM25 [17], and a language model with Dirichlet smoothing [22]. We show that accuracy approaches the theoretical value predicted by",null,null
19,203,null,null
20,"the PAC model, thereby overcoming a previous limitation of the architecture.",null,null
21,"It should be expected that a PAC P2P network comprised of volunteer nodes will be subject to malicious behavior. When a secure method is used to select the random set of nodes for each query, such as a gossip-based secure peer sampling service like Brahms [4], the random nature of a PAC architecture makes it relatively resilient to attack. Unfortunately, the global statistics estimation technique greatly increases vulnerability. We demonstrate this by first identifying how an adversary can introduce malicious nodes to perform three attacks: (i) censorship of a document, (ii) promotion (increasing the rank) of a document, and (iii) disruption of overall search results. We then develop theoretical models of these attacks, assuming the global statistics estimation technique is not used. This establishes a baseline of vulnerability. Next, we outline how an adversary can corrupt the global statistics estimation technique, and through simulations demonstrate the potential for manipulation of search results is much greater than for the PAC architecture baseline.",null,null
22,"As a defense, we propose that the querying node measures the skewness of global statistics information returned from nodes, and filters out values that appear to be manipulated. We show the technique to be highly effective, withstanding up to 40% of malicious nodes before query results are significantly affected.",null,null
23,1.1 Paper Overview,null,null
24,"In Sect. 2 we discuss related work. In Sect. 3 we review the PAC framework and provide details of BM25 and the language model. In Sect. 4 we modify the PAC query procedure to incorporate the estimation of global statistics, and evaluate its effectiveness. In Sect. 5 we investigate how this increases vulnerability to attack, and in Sect. 6 we propose a defense. Finally, in Sect. 7 overall conclusions are drawn.",null,null
25,2. RELATED WORK,null,null
26,"The problem of estimating global statistics for P2P information retrieval (P2P IR) is similar to that of estimating corpus statistics for distributed information retrieval (DIR). The multi-database model of DIR assumes that (i) a query is sent to a subset of the most promising databases, (ii) each database returns matching documents, and (iii) results from each database are merged into a final ranked result list [5]. A PAC P2P architecture can be thought of as a special case of this model, where queries are sent to a random subset of databases (nodes), and where each database uses the same retrieval algorithm and contains documents randomly selected from the same central document collection.",null,null
27,"In DIR, document scores assigned by different databases may be based on different corpus statistics and retrieval algorithms, and therefore may not be directly comparable. To correctly merge results from different databases, scores from each database can be normalized. When databases are uncooperative, and do not aid in this task, normalized scores can be estimated from a sample of documents obtained by submitting queries [6], but normalization is easier when databases are cooperative and share local database information, such as corpus statistics. Viles et al. proposed that databases periodically share corpus statistics, so that all databases use the same corpus statistics [19]. However, this may be impractical when there are a very large num-",null,null
28,"ber of databases (or equivalently, nodes in a P2P network). Callan et al. suggested that corpus statistics be requested from databases before each query, and then passed along with the query [7]. All databases responding to the query can then use the same corpus statistics. However, the increase in query latency may be unacceptable. Kirsch et al. proposed that each queried database returns local corpus statistics, in addition to the result list [15]. The corpus statistics from all databases are then combined, and new, normalized scores are calculated for each returned document. This is similar to the technique we use in this paper. Our work differs, because instead of using a deterministic architecture, we specifically consider a PAC P2P architecture, where documents are randomly replicated across peers, and queries are directed to a random subset of peers.",null,null
29,"P2P IR differs from DIR in that P2P networks are typically intended to scale to a much larger number of nodes, potentially thousands or tens of thousands, and are characterized by much higher levels of churn. A number of solutions have been proposed to overcome the lack of global statistics at each node in P2P networks. PlanetP [11] is a P2P information retrieval system that efficiently routes queries to nodes containing relevant documents by using a compact summary of the entire document index maintained at each node. The document frequency global statistic, which is the proportion of documents that index a given term, is not available at each node, so it is difficult to rank documents with the commonly used measure of term frequency-inverse document frequency (TF-IDF). However, the summary index at each node makes it possible to determine peer frequency, the proportion of peers that index at least one document with a given term, and this is used to calculate the measure of term frequency-inverse peer frequency (TF-IPF). The performance of TF-IPF is shown to be similar to that of TF-IDF. Unfortunately, for many other P2P architectures, including PAC, it is not substantially easier to calculate peer frequency than it is to calculate document frequency.",null,null
30,"Lu et al. considered search of text based libraries in hierarchical P2P networks [16]. They assume some nodes act as top-level `hubs' and provide a directory service for low-level `leaf' nodes that contain text libraries. A query is routed to one or more hub nodes, which in turn route it to appropriate leaf nodes or pass it on to be handled by other hub nodes. The responses from leaf nodes are returned down the query path. Hub nodes maintain global statistics for all connected leaf nodes, and also share these global statistics with other hub nodes. This allows hub nodes to normalize document scores in query responses and merge them into a ranked list before passing the query response back down the query path. As a result, the user is provided with a correctly merged ranked result list. This can be a very effective solution, but it is only applicable to hierarchical P2P architectures.",null,null
31,"Chen et al. proposed a hybrid structured/unstructured P2P system for full text-search [9]. The structured component efficiently handles multi-term queries, while the unstructured component gathers global statistics at each node using a gossip protocol. This allows each node to maintain up-to-date global statistics, but comes at the cost of extra inter-node communication traffic.",null,null
32,"Witschel et al. [21] showed that reasonable estimates of global statistics can be derived by requesting statistics from random nodes. Our approach also amounts to receiving statistics from random nodes, but takes advantage of the",null,null
33,204,null,null
34,"mechanism already in place to perform queries, whereas in theirs the random sampling is implemented alongside the mechanism to perform queries. Witschel et al. also showed the effectiveness of random sampling can be improved by combining it with a small reference corpus of global statistics on each node. However, this may be less effective with a dynamically changing document collection, and is unnecessary with our approach because global statistics are derived from a large proportion of the document collection.",null,null
35,"A major part of our contribution is an analysis of the adversarial manipulation of global statistics. While the impact of malicious nodes in P2P networks has been widely studied [20], we are unaware of investigations into attacks against global statistics. Bender et al. [3] reduce bias of estimates of document frequency using hash sketches. Each node creates a hash sketch to provide a compact synopsis of documents that contain a query term, and hash sketches are combined to calculate document frequency. However, this is intended to reduce bias arising from the overlap of document collections across nodes, and not bias caused by adversarial nodes.",null,null
36,3. PRELIMINARIES,null,null
37,We first review the fundamental concepts of the PAC,null,null
38,framework [10]. This earlier work assumes there is no ad-,null,null
39,versarial behavior. In Sect. 5 we drop this assumption. Let,null,null
40,"there be n homogenous nodes in the network, m unique",null,null
41,"documents in the collection, and each node indexes  doc-",null,null
42,uments. Let the total index capacity of the network be R.,null,null
43,There are ri copies of each document di replicated across,null,null
44,"the indexes of nodes, such that i ri , R. Documents are",null,null
45,uniformly,null,null
46,randomly,null,null
47,"replicated,",null,null
48,so,null,null
49,ri,null,null
50,",",null,null
51,R m,null,null
52,.,null,null
53,Queries,null,null
54,are,null,null
55,sent,null,null
56,"to z randomly selected nodes, and relevant documents are",null,null
57,combined and ranked to form a top-k result list. The prob-,null,null
58,ability of finding c copies of a document di is binomially distributed. It was shown [10] that the probability P (di) of finding at least one copy of document di is given by,null,null
59,z,null,null
60,"P (di) , 1 -",null,null
61,1- m,null,null
62,.,null,null
63,(1),null,null
64,"For (1) to hold, the number of documents returned from each queried node, k , needs to be greater than or equal to k. In [10] this was implicitly assumed. In this paper, since we vary k , we explicitly state this requirement.",null,null
65,"Using the property of exponential functions, (1) can be approximated with",null,null
66,P,null,null
67,(di),null,null
68,1,null,null
69,-,null,null
70,e-,null,null
71,z m,null,null
72,.,null,null
73,(2),null,null
74,"As a consequence, for a fixed collection size m, the probability of finding di is determined by the product z.",null,null
75,"In information retrieval, typically there are multiple documents that are relevant to a query. Let Dk(j) be the global top-k, the set of top-k documents retrieved for query j from the full document collection, and D k(j) be the local top-k, the set retrieved from a constrained search of z nodes. The accuracy aj for query j is then defined [10] as",null,null
76,aj,null,null
77,",",null,null
78,|Dk(j)  D k(j)| |Dk (j )|,null,null
79,.,null,null
80,(3),null,null
81,"It was shown [10] that each query is expected to retrieve k · P (di) documents out of the global top-k, and therefore expected average accuracy is given by",null,null
82,E(aj ),null,null
83,",",null,null
84,k,null,null
85,· P (di) k,null,null
86,",",null,null
87,P (di),null,null
88,.,null,null
89,(4),null,null
90,3.1 BM25 Ranking Function,null,null
91,"The first ranking function we evaluate the global statistics estimation technique for is BM25. Let C be the set of documents in the collection and T be the set of terms in a query. The score, sBM25(d, T ), assigned to document d for query T is then given [17] by",null,null
92,"sBM25(d, T ) ,"" w(t) · s(t, d) ,""",null,null
93,(5),null,null
94,tT,null,null
95,where,null,null
96,"s(t, d) ,",null,null
97,"T F (t, d) · (k1 + 1)",null,null
98,", (6)",null,null
99,"T F (t, d) + k1",null,null
100,1,null,null
101,-,null,null
102,b,null,null
103,+,null,null
104,b,null,null
105,·,null,null
106,DL(d) AV GDL,null,null
107,w(t),null,null
108,",",null,null
109,log,null,null
110,", 1",null,null
111,Pdoc (t),null,null
112,k1,null,null
113,and,null,null
114,b,null,null
115,are,null,null
116,free,null,null
117,"parameters,",null,null
118,"T F (t, d)",null,null
119,is,null,null
120,"the term frequency of term t in document d, DL(d) is the",null,null
121,"number of terms in document d, i.e. its length, and AV GDL",null,null
122,is the average document length across all documents in C.,null,null
123,Pdoc(t) is the probability of a document in collection C con-,null,null
124,"taining term t, and is calculated with",null,null
125,"DF (t, C)",null,null
126,"Pdoc(t) ,"" |C| ,""",null,null
127,(7),null,null
128,"where DF (t, C) is document frequency, the number of documents from collection C that contain the term t.",null,null
129,"Each node has access to or can calculate all the parameters of (5), with the exception of Pdoc(t) and AV GDL. These are the global statistics for the collection, which we need to estimate.",null,null
130,3.2 Language Model with Dirichlet Smoothing,null,null
131,"The second ranking function we consider is a language model with Dirichlet smoothing. For a language model, the score, slang(d, T ), assigned to each document d for query T is given by",null,null
132,"slang(d, T ) ,"" p(t|d) ,""",null,null
133,(8),null,null
134,tT,null,null
135,"where p(t|d) is the probability of the language model of document d generating term t, and is given by",null,null
136,"p(t|d) ,"" T F (t, d) .""",null,null
137,(9),null,null
138,DL(d),null,null
139,"This does not require global statistics of the collection. However, to prevent a score of zero if a query term is not present in a document, it is common to use smoothing. Various techniques have been proposed [22] that assign a non-zero value to p(t|d) if the term is missing. In this paper we consider Dirichlet smoothing, for which p(t|d) is given by",null,null
140,"p(t|d) ,"" T F (t, d) + µ · Pcoll(t) ,""",null,null
141,(10),null,null
142,DL(d) + µ,null,null
143,"where µ is a free parameter to control the amount of smoothing, and Pcoll(t) is the probability of term t being generated from the collection. Pcoll(t) is given by",null,null
144,"Pcoll(t) ,",null,null
145,"dC T F (t, d) , dC DL(d)",null,null
146,(11),null,null
147,and is the global statistic we need to estimate.,null,null
148,205,null,null
149,4. GLOBAL STATISTICS ESTIMATION,null,null
150,"We now outline a modification to the PAC query procedure that allows the estimation of global statistics. Each node, u, uses its local collection of documents, Lu, to calculate an initial estimate of the retrieval model global statistics. Using these estimated statistics the node calculates the retrieval model score for each term from all documents in Lu. These scores are then added to an index for use when scoring documents for queries. The query procedure is as follows.",null,null
151,"1. A querying node issues a query comprised of a set of terms, T , to z random nodes (including itself).",null,null
152,"2. Each queried node, u, then: (a) Compiles a top-k result list of the highest ranked documents from Lu for query T , using the previously calculated scores. (b) The node returns to the querying node two sets of information: Ru and Gu. The former contains summary information for the top-k documents that the querying node needs to produce a final top-k result list (e.g. document id, parameters of the document required to calculate its score). The latter contains information to estimate the document collection global statistics, used by the retrieval model scoring algorithm.",null,null
153,"3. On receiving responses from all z queried nodes, the querying node: (a) Calculates new, improved estimates of global statistics based on Gu returned from each node. (b) Calculates a score for each received document using summary information from Ru and the new global statistics. (c) Ranks documents by their new score, and presents a final top-k result list to the user.",null,null
154,"For BM25, the estimate of the global statistic Pdoc(t) is calculated in Step 3(a) with",null,null
155,"P^doc(t) ,",null,null
156,"uZ DF (t, Lu) , uZ |Lu|",null,null
157,(12),null,null
158,and the estimate of the global statistic AV GDL is calculated with,null,null
159,"AV G^ DL ,",null,null
160,uZ dLu DL(d) . uZ |Lu|,null,null
161,(13),null,null
162,"Therefore, for BM25, Gu consists of DF (t, Lu) for t  T , |Lu|, and dLu DL(d).",null,null
163,"For the language model, the estimate of the global statistic Pcoll(t) is calculated in Step 3(a) with",null,null
164,"P^coll(t) ,",null,null
165,"uZ dLu T F (t, d) , uZ dLu DL(d)",null,null
166,(14),null,null
