,sentence,label,data
,,,
0,Fusion Helps Diversification,null,null
,,,
1,Shangsong Liang,null,null
,,,
2,"University of Amsterdam Amsterdam, The Netherlands",null,null
,,,
3,s.liang@uva.nl,null,null
,,,
4,Zhaochun Ren,null,null
,,,
5,"University of Amsterdam Amsterdam, The Netherlands",null,null
,,,
6,z.ren@uva.nl,null,null
,,,
7,Maarten de Rijke,null,null
,,,
8,"University of Amsterdam Amsterdam, The Netherlands",null,null
,,,
9,derijke@uva.nl,null,null
,,,
10,ABSTRACT,null,null
,,,
11,"A popular strategy for search result diversification is to first retrieve a set of documents utilizing a standard retrieval method and then rerank the results. We adopt a different perspective on the problem, based on data fusion. Starting from the hypothesis that data fusion can improve performance in terms of diversity metrics, we examine the impact of standard data fusion methods on result diversification. We take the output of a set of rankers, optimized for diversity or not, and find that data fusion can significantly improve state-of-the art diversification methods. We also introduce a new data fusion method, called diversified data fusion, which infers latent topics of a query using topic modeling, without leveraging outside information. Our experiments show that data fusion methods can enhance the performance of diversification and DDF significantly outperforms existing data fusion methods in terms of diversity metrics.",null,null
,,,
12,Categories and Subject Descriptors,null,null
,,,
13,H.3.3 [Information Storage and Retrieval]: Information Search and Retrieval--retrieval models,null,null
,,,
14,Keywords,null,null
,,,
15,Data fusion; rank aggregation; diversification; ad hoc retrieval,null,null
,,,
16,1. INTRODUCTION,null,null
,,,
17,"Search result diversification is widely being studied as a way of tackling query ambiguity. Instead of trying to identify the ""correct"" interpretation behind a query, the idea is to make the search results diversified so that users with different backgrounds will find at least one of these results to be relevant to their information need [2]. In contrast to the traditional assumption of independent document relevance, search result diversification approaches typically consider the relevance of a document in light of other retrieved documents [40]. Diversification models try to identify the probable ""aspects"" of the query and return documents for each aspect, thereby making the result list more diverse.",null,null
,,,
18,"Data fusion approaches, also called rank aggregation approaches, consist in combining result lists in order to produce a new and hopefully better ranking [16, 42]. Here, results lists can be produced by",null,null
,,,
19,"Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than the author(s) must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from permissions@acm.org. SIGIR '14, July 06­11, 2014, Gold Coast, QLD, Australia. Copyright is held by the owner/author(s). Publication rights licensed to ACM. ACM 978-1-4503-2257-7/14/07 ... $15.00. http://dx.doi.org/10.1145/2600428.2609561",null,null
,,,
20,"a wide range of ranking approaches, based, e.g., on different query or document representations. Data fusion methods can improve retrieval performance in terms of traditional relevance-oriented metrics like MAP and precision@k over the methods used to generate the individual result lists being fused [17, 26, 27, 49]. One reason is that retrieval approaches often return very different non-relevant documents, but many of the same relevant documents [49].",null,null
,,,
21,"We examine the hypothesis that data fusion can improve performance in terms of diversity metrics by promoting aspects that are found in disparate ranked lists to the top of the fused list. Our first step in testing this hypothesis is to examine the impact of existing data fusion methods in terms of diversity scores when fusing ranked lists. We find that they tend to improve over individual component runs on nearly all of the diversity metrics that we consider: Prec-IA, MAP-IA, -NDCG, ERR-IA (all at rank 20).",null,null
,,,
22,"Building on these findings we propose a new data fusion method, called diversified data fusion (DDF). Based on latent Dirichlet allocation (LDA), it operates on documents in the result lists to be fused, whether the result lists have been diversified or not. DDF infers latent topics, their probabilities of being relevant and a multinomial distribution of topics over the documents being fused. Thus, it integrates topic structure and rank information. DDF does not assume the explicit availability of query aspects, but infers these as well as the latent prior for a given query via the documents being fused. Experimental results show that DDF can aggregate result lists--whether produced by diversification or ad hoc retrieval models--and boost the diversity of the final fused list, outperforming state-of-the-art diversification methods and established data fusion methods, especially in terms of intent-aware precision metrics.",null,null
,,,
23,Our contributions in this paper can be summarized as follows:,null,null
,,,
24,i. We tackle the challenge of search result diversification in a novel way by using data fusion methods.,null,null
,,,
25,ii. We propose a novel data fusion method that aims at optimizing diversification measures and that proves to be especially effective in terms of intent-aware precision metrics.,null,null
,,,
26,iii. We analyze the effectiveness of data fusion for result diversification and find that our fusion method as well as other fusion methods can significantly outperform state-of-the-art diversification methods.,null,null
,,,
27,§2 discusses related work. §3 describes the fusion models that we use (old and new). §4 describes our experimental setup. §5 is devoted to our experimental results and we conclude in §6.,null,null
,,,
28,2. RELATED WORK,null,null
,,,
29,"We distinguish between three directions of related work: search result diversification, data fusion, and latent topic modeling.",null,null
,,,
30,303,null,null
,,,
31,2.1 Search result diversification,null,null
,,,
32,"Search result diversification is similar to ad hoc search, but differs in its judging criteria and evaluation measures [8, 12]. The basic premise in search result diversification is that the relevance of a set of documents depends not only on the individual relevance of its members, but also on how they relate to one another [2]. Ideally, users can find at least one relevant document to the underlying information need. Most previous work on search result diversification can be classified as either implicit or explicit [39, 41].",null,null
,,,
33,"Implicit approaches to result diversification promote diversity by selecting a document that differs from the documents appearing before it in terms of vocabulary, as captured by a notion of document similarity, such as cosine similarity or Kullback-Leibler divergence. Carbonell and Goldstein [6] propose the maximal marginal relevance (MMR) method, which reduces redundancy while maintaining query relevance when selecting a document. Chen and Karger [7] describe a retrieval method incorporating negative feedback in which documents are assumed to be non-relevant once they are included in the result list, with the goal of maximizing diversity. Zhai et al. [51] present a subtopic retrieval model where the utility of a document in a ranking is dependent on other documents in the ranking and documents that cover many different subtopics of a query topic are found. Other implicit work includes, e.g., [1] where set-based recommendation of diverse articles is proposed. We also tackle the problem of search result diversification implicitly, but in a different way, i.e., by data fusion.",null,null
,,,
34,"Explicit approaches to diversification assume that a set of query aspects is available and return documents for each of them. Past work has shown that explicit approaches are usually somewhat superior to implicit diversification techniques. Well-known examples include xQuAD [39], RxQuAD [45], IA-select [2], PM-2 [13], and, more recently, DSPApprox [14]. Instead of modeling a set of aspects implicitly, these algorithms obtain the set of aspects either manually, e.g., from aspect descriptions [8, 12], or they create them directly from, e.g., suggested queries generated by commercial search engines [13, 39] or predefined aspect categories [44]. We propose an implicit fusion-based diversification model where we do not assume that the aspects of the query are available but do assume that we can infer the underlying topics and the prior relevance of each topic for search result diversification.",null,null
,,,
35,2.2 Data fusion,null,null
,,,
36,"A core concern in data fusion is how to assign a score to a document that appears in one of the lists to be fused [17, 19, 42, 49]. Most previous work on data fusion focuses on optimizing a traditional evaluation metric, like MAP, p@k and nDCG. Fusion approaches can be categorized into supervised or unsupervised: Supervised data fusion approaches, like -Merge [43], first extract a number of features, either from documents or lists, and then utilize a machine learning algorithm to train the fusion model [15, 17, 49].",null,null
,,,
37,"In contrast, unsupervised data fusion methods mainly use either retrieval scores or ranks of documents in the lists to be merged, with the CombSUM family of fusion methods being the oldest and one of the most successful ones in many information retrieval tasks [26, 42]. State-of-the-art data fusion methods ClustFuseCombSUM and ClustFuseCombMNZ (both cluster-based methods) are proposed in [23]. Methods utilizing retrieval scores take score information from the lists to be fused as input, while those utilizing rank information only use order information of the documents appearing in the lists to be fused as input. Data fusion methods utilizing rank information have many uses and applications in information retrieval, including, e.g., expert search [30, 35], query reformulations [43], meta-search [4, 17] and microblog search [31, 32].",null,null
,,,
38,We do not make the assumption that labeled data is available but integrate standard unsupervised data fusion information into our diversified fusion model for search result diversification via a latent topic model.,null,null
,,,
39,2.3 Topic modeling,null,null
,,,
40,"Topic models have been proposed for reducing the high dimensionality of words appearing in documents into low-dimensional ""latent topics."" From the first work on topic models [21], the Probablistic LSI model, topic models have received significant attention [5, 18, 22] and have proved to be effective in many information retrieval tasks [24, 47, 50]. Latent dirichlet allocation (LDA) [5] represents each document as a finite mixture over ""latent"" topics where each topic is represented as a finite mixture over words existing in that document. Based on LDA, many extensions have been proposed, e.g., to handle users' connections with particular documents and topics [37], to learn relations among different topics [25, 29], for topic over time [46], for dynamic mixture model [48], or tweet summarization [36]. LDA has also been extended to sentiment analysis [28]. We propose a novel topic model where fusion scores of each document appearing in lists to be fused are used to boost the performance of state-of-the-art diversification methods.",null,null
,,,
41,"Our work adds the following to the work discussed above. We propose a fusion-based approach to the search result diversification task. We find that existing unsupervised fusion methods significantly outperform state-of-the-art diversification methods. In addition, we propose a novel fusion method, diversified data fusion, that uses the output of a fusion step and a topic modeling step as input to a diversification step. To the best of our knowledge, ours is the first attempt to utilize data fusion for diversification.",null,null
,,,
42,3. FUSION METHODS,null,null
,,,
43,"We first review our notation and terminology. Then we introduce the task to be addressed, as well as the baseline fusion methods that we use in this paper plus a new fusion method.",null,null
,,,
44,3.1 Notation and terminology,null,null
,,,
45,"We summarize the main notation used in this paper in Table 1. In the remainder, we distinguish between queries, aspects and topics. A query is an expression of an information need; in our experimental evaluation below, queries are provided as part of a TREC test collection. An aspect (sometimes called subtopic at the TREC Web track) is an interpretation of an information need. We use topic to refer to latent topics as identified by a topic modeling method, in our case LDA. A component list is a ranked list that serves as input for a data fusion method. A fused list is a list that is the result of applying a fusion method to component lists.",null,null
,,,
46,3.2 The diversified data fusion task,null,null
,,,
47,"The diversified data fusion task that we address is this: given a query, an index of documents, and a set of ranked lists of documents produced in response to a query, aggregate the lists into a final result list where documents should be diversified. The component lists may or may not have been diversified themselves or ranked by relevance only.",null,null
,,,
48,The underlying data fusion problem consists of running a ranking function FX that satisfies:,null,null
,,,
49,"L ,"" {L1, L2, . . . , Lm}, q, C -FX Lf ,""",null,null
,,,
50,"where L is a set of components lists, m ,"" |L| is their number, C the document corpus, q a query, and Lf the final fused list.""",null,null
,,,
51,304,null,null
,,,
52,Table 1: Basic notation used in the paper.,null,null
,,,
53,Notation Gloss,null,null
,,,
54,C,null,null
,,,
55,document corpus,null,null
,,,
56,q,null,null
,,,
57,query,null,null
,,,
58,z,null,null
,,,
59,topic,null,null
,,,
60,d,null,null
,,,
61,document,null,null
,,,
62,w,null,null
,,,
63,a token,null,null
,,,
64,Nd,null,null
,,,
65,number of tokens in d,null,null
,,,
66,Li,null,null
,,,
67,i-th ranked list of documents,null,null
,,,
68,L,null,null
,,,
69,set of ranked lists to be fused,null,null
,,,
70,m,null,null
,,,
71,"number of ranked lists to be fused, i.e., m , |L|",null,null
,,,
72,CL,null,null
,,,
73,set of documents that appear in the lists L,null,null
,,,
74,|CL|,null,null
,,,
75,number of documents in CL,null,null
,,,
76,FX,null,null
,,,
77,a data fusion method,null,null
,,,
78,FX(d; q) score of document d for query q according to a data fusion,null,null
,,,
79,method FX,null,null
,,,
80,RLi d,null,null
,,,
81,rank-based score of d in list Li,null,null
,,,
82,"rank(d, Li) rank of d in list Li",null,null
,,,
83,|Li|,null,null
,,,
84,length of list Li,null,null
,,,
85,R,null,null
,,,
86,set of top ranked documents,null,null
,,,
87,qt[z|q],null,null
,,,
88,quotient score for z given q in PM-2 algorithm [13],null,null
,,,
89,vz|q,null,null
,,,
90,probability of z given q,null,null
,,,
91,sz|q,null,null
,,,
92,portion of seat occupied by z given q in PM-2,null,null
,,,
93,a free trade-off parameter in PM-2,null,null
,,,
94,the parameter of topic Dirichlet prior,null,null
,,,
95,the parameter of token Dirichlet prior,null,null
,,,
96,T,null,null
,,,
97,number of topics,null,null
,,,
98,V,null,null
,,,
99,number of unique tokens in CL,null,null
,,,
100,d,null,null
,,,
101,multinomial distribution of topics specific to d,null,null
,,,
102,z,null,null
,,,
103,multinomial distribution of tokens specific to topic z,null,null
,,,
104,µz,null,null
,,,
105,mean of Log-normal distribution of fusion scores for topic z,null,null
,,,
106,z,null,null
,,,
107,deviation of Log-normal distribution of fusion scores for z,null,null
,,,
108,zdi,null,null
,,,
109,topic associated with the i-th token in the document d,null,null
,,,
110,wdi,null,null
,,,
111,i-th token in document d,null,null
,,,
112,fdi,null,null
,,,
113,fusion score for token wdi,null,null
,,,
114,3.3 Baseline data fusion methods,null,null
,,,
115,Let RLid denote the score of document d based on the rank,null,null
,,,
116,"of d in list Li; in the literature on data fusion, one often finds",null,null
,,,
