,sentence,label,data
,,,
0,Win-Win Search: Dual-Agent Stochastic Game in Session Search,null,null
,,,
1,"Jiyun Luo, Sicong Zhang, Hui Yang",null,null
,,,
2,"Department of Computer Science, Georgetown University",null,null
,,,
3,"{jl1749,sz303}@georgetown.edu, huiyang@cs.georgetown.edu",null,null
,,,
4,ABSTRACT,null,null
,,,
5,"Session search is a complex search task that involves multiple search iterations triggered by query reformulations. We observe a Markov chain in session search: user's judgment of retrieved documents in the previous search iteration affects user's actions in the next iteration. We thus propose to model session search as a dual-agent stochastic game: the user agent and the search engine agent work together to jointly maximize their long term rewards. The framework, which we term ""win-win search"", is based on Partially Observable Markov Decision Process. We mathematically model dynamics in session search, including decision states, query changes, clicks, and rewards, as a cooperative game between the user and the search engine. The experiments on TREC 2012 and 2013 Session datasets show a statistically significant improvement over the state-of-the-art interactive search and session search algorithms.",Y,null
,,,
6,Categories and Subject Descriptors,null,null
,,,
7,H.3.3 [Information Systems ]: Information Storage and Retrieval--Information Search and Retrieval,null,null
,,,
8,Keywords,null,null
,,,
9,Dynamic Information Retrieval Modeling; POMDP; Stochastic Game; Session Search,null,null
,,,
10,1. INTRODUCTION,null,null
,,,
11,"Users often need a multi-query session to accomplish a complex search task. A session usually starts with the user writing a query, sending it to the search engine, receiving a list of ranked documents ordered by decreasing relevance, then examining the snippets, clicking on the interesting ones, and spending more time reading them; we call one such sequence a ""search iteration."" In the next iteration, the user modifies the query or issues a new query to start the search again. As a result, a series of search iterations form, which include a series of queries q1, ..., qn, a series of returned documents D1, ..., Dn, and a series of clicks C1, ..., Cn, some of which are SAT clicks (satisfactory clicked documents [9]). The session stops when the user's information need is satisfied or the user abandons the search [6]. The information retrieval (IR) task in this setting is called session search [7,",null,null
,,,
12,"Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than ACM must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from permissions@acm.org. SIGIR'14, July 6­11, 2014, Gold Coast, Queensland, Australia. Copyright 2014 ACM 978-1-4503-2257-7/14/07 ...$15.00. http://dx.doi.org/10.1145/2600428.2609629.",null,null
,,,
13,Figure 1: A Markov chain of decision states in session search. (S: decision states; q: queries; A: user actions such as query changes; D: documents).,null,null
,,,
14,"11, 17, 22, 24, 25, 30, 31]. Table 1 lists example information needs and queries in session search.",null,null
,,,
15,"We are often puzzled about what drives a user's search in a session and why they make certain moves. We observe that sometimes the same user behavior, such as a drift from one subtopic to another, can be explained by opposite reasons: either the user is satisfied with the search results and moves to another sub information need, or the user is not satisfied with the search results and leaves the previous search path. The complexity of users' decision making patterns makes session search quite challenging [4, 29].",null,null
,,,
16,"Researchers have attempted to find out the causes of topic drifting in session search. The causes under study include personalization [29], task types [20, 24], and previous documents' relevance [11]. A user study is usually needed to draw conclusions about user intent. However, the focus of this paper is not on identifying user intent. Instead, we simplify the complexity of users' decision states into a cross product of only two dimensions: whether previously retrieved documents are relevant and whether the user would like to explore the next sub information need. Our work differs from existing work in that we consider that a session goes through a series of hidden decision states, with which we design a statistical retrieval model for session search. Our emphasis is an effective retrieval model, not a user study to identify the query intent.",null,null
,,,
17,"The hidden decision states form a Markov chain in session search. A Markov chain is a memoryless random process where the next state depends only on the current state [18]. Figure 1 illustrates a Markov chain of hidden decision states for TREC 2013 Session 9. In a session, a user's judgment of the retrieved documents in the previous iteration affects or even decides the user's actions in the next iteration. A user's actions could include clicks, query changes, reading the documents, etc. The user's gain, which we call reward, is the amount of relevant information that he or she obtains in the retrieved documents. The reward motives the later user actions. If the decision states are known, we can use a Markov Decision Process (MDP) to model the process. However, in session search, users' decision states are hidden. We therefore model session search as a Partially Observable Markov Decision Process (POMDP) [18].",Y,null
,,,
18,587,null,null
,,,
19,Table 1: Information needs and queries (examples are from TREC 2013 Session Track).,Y,null
,,,
20,Session 2: Information Need,null,null
,,,
21,Session 2: Queries,null,null
,,,
22,"You want to buy a scooter. So you're inter- q1,scooter brands",null,null
,,,
