,sentence,label,data
,,,
0,Injecting User Models and Time into Precision via Markov Chains,null,null
,,,
1,Marco Ferrante,null,null
,,,
2,"Dept. Mathematics University of Padua, Italy",null,null
,,,
3,ferrante@math.unipd.it,null,null
,,,
4,Nicola Ferro,null,null
,,,
5,"Dept. Information Engineering University of Padua, Italy",null,null
,,,
6,ferro@dei.unipd.it,null,null
,,,
7,Maria Maistro,null,null
,,,
8,"Dept. Information Engineering University of Padua, Italy",null,null
,,,
9,maistro@dei.unipd.it,null,null
,,,
10,ABSTRACT,null,null
,,,
11,"We propose a family of new evaluation measures, called Markov Precision (MP), which exploits continuous-time and discrete-time Markov chains in order to inject user models into precision. Continuous-time MP behaves like timecalibrated measures, bringing the time spent by the user into the evaluation of a system; discrete-time MP behaves like traditional evaluation measures. Being part of the same Markovian framework, the time-based and rank-based versions of MP produce values that are directly comparable.",null,null
,,,
12,We show that it is possible to re-create average precision using specific user models and this helps in providing an explanation of Average Precision (AP) in terms of user models more realistic than the ones currently used to justify it. We also propose several alternative models that take into account different possible behaviors in scanning a ranked result list.,null,null
,,,
13,"Finally, we conduct a thorough experimental evaluation of MP on standard TREC collections in order to show that MP is as reliable as other measures and we provide an example of calibration of its time parameters based on click logs from Yandex.",Y,null
,,,
14,Categories and Subject Descriptors,null,null
,,,
15,H.3.4 [Information Search and Retrieval]: Systems and Software--Performance evaluation (efficiency and effectiveness),null,null
,,,
16,General Terms,null,null
,,,
17,"Experimentation, Measurement, Performance",null,null
,,,
18,Keywords,null,null
,,,
19,Evaluation; Markov Precision; User Model; Time,null,null
,,,
20,1. INTRODUCTION,null,null
,,,
21,Experimental evaluation has been central to Information Retrieval (IR) since its beginning [15] and Cranfield is the,null,null
,,,
22,"Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than ACM must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from permissions@acm.org. SIGIR'14, July 6­11, 2014, Gold Coast, Queensland, Australia. Copyright 2014 ACM 978-1-4503-2257-7/14/07 ...$15.00. http://dx.doi.org/10.1145/2600428.2609637.",null,null
,,,
23,"predominant paradigm for carrying out system-oriented experimentation [11]. Over the decades, several measures have been proposed to evaluate retrieval effectiveness.",null,null
,,,
