,sentence,label,data
0,Using the Cross-Entropy Method to Re-Rank Search Results,null,null
1,"Haggai Roitman, Shay Hummel",null,null
2,"IBM Research - Haifa Haifa 31905, Israel",null,null
3,"{haggai,shayh}@il.ibm.com",null,null
4,Oren Kurland,null,null
5,"Faculty of Industrial Engineering and Management, Technion Haifa 32000, Israel",null,null
6,kurland@ie.technion.ac.il,null,null
7,ABSTRACT,null,null
8,"We present a novel unsupervised approach to re-ranking an initially retrieved list. The approach is based on the Cross Entropy method applied to permutations of the list, and relies on performance prediction. Using pseudo predictors we establish a lower bound on the prediction quality that is required so as to have our approach significantly outperform the original retrieval. Our experiments serve as a proof of concept demonstrating the considerable potential of the proposed approach. A case in point, only a tiny fraction of the huge space of permutations needs to be explored to attain significant improvements over the original retrieval.",null,null
9,Categories and Subject Descriptors: H.3.3 [Information Search and Retrieval] Retrieval Models,null,null
10,"General Terms: Algorithms, Experimentation",null,null
11,"Keywords: Re-ranking, Optimization, Performance Prediction",null,null
12,1. INTRODUCTION,null,null
13,"We present a novel unsupervised approach to the challenge of re-ranking a document list that was retrieved in response to a query so as to improve retrieval effectiveness. The approach utilizes a Monte-Carlo-based optimization method, named the Cross Entropy (CE) method [13], which is applied to permutations of the list. The approach relies on a retrieval performance predictor that can be applied to any ranking of the list.",null,null
14,"Given the reliance on performance prediction, we present a novel pseudo predictor that enables to fully control the prediction quality. We use the pseudo predictor in our approach to set a lower bound on the prediction quality that is needed so as to have our approach significantly outperform the initial ranking. Further empirical evaluation provides a proof of concept for our approach. Specifically, via the exploration of a tiny fraction of the huge space of all possible permutations, our approach finds highly effective permutations. The retrieval effectiveness of these permutations is substantially, and statistically significantly better, than that of the original ranking of the list.",null,null
15,"Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than ACM must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from permissions@acm.org. SIGIR'14, July 6­11, 2014, Gold Coast, Queensland, Australia. Copyright 2014 ACM 978-1-4503-2257-7/14/07 ...$15.00.",null,null
16,http://dx.doi.org/10.1145/2600428.2609454.,null,null
17,2. RELATED WORK,null,null
