,sentence,label,data
,,,
0,The Search Duel: A Response to a Strong Ranker,null,null
,,,
1,Peter Izsak,null,null
,,,
2,"Technion, Israel",null,null
,,,
3,peteriz@tx.technion.ac.il,null,null
,,,
4,Fiana Raiber,null,null
,,,
5,"Technion, Israel",null,null
,,,
6,fiana@tx.technion.ac.il,null,null
,,,
7,Oren Kurland,null,null
,,,
8,Moshe Tennenholtz,null,null
,,,
9,"Technion, Israel",null,null
,,,
10,Microsoft Research and,null,null
,,,
11,kurland@ie.technion.ac.il,null,null
,,,
12,"Technion, Israel",null,null
,,,
13,moshet@ie.technion.ac.il,null,null
,,,
14,ABSTRACT,null,null
,,,
15,"How can a search engine with a relatively weak relevance ranking function compete with a search engine that has a much stronger ranking function? This dual challenge, which to the best of our knowledge has not been addressed in previous work, entails an interesting bi-modal utility function for the weak search engine. That is, the goal is to produce in response to a query a document result list whose effectiveness does not fall much behind that of the strong search engine; and, which is quite different than that of the strong engine. We present a per-query algorithmic approach that leverages fundamental retrieval principles such as pseudofeedback-based relevance modeling. We demonstrate the merits of our approach using TREC data.",null,null
,,,
16,Categories and Subject Descriptors: H.3.3 [Information Search and Retrieval]: Retrieval models,null,null
,,,
17,"Keywords: search engine competition, dueling algorithms",null,null
,,,
18,1. INTRODUCTION,null,null
,,,
19,"We revisit the classic ad hoc relevance ranking problem from a competition perspective. Rather than addressing a single ranking system, we consider a duel in which a search problem -- i.e., a query representing an information need -- is presented to two players. One of the players has a relevance ranking function that is considerably ""weaker"" (i.e., less effective) than that of the other player. Yet, his goal is to produce a ranking that is competitive with that created by the player with the stronger ranking function.",null,null
,,,
20,"On the theory side, this type of interaction is modeled in the context of the recently introduced dueling algorithms [9]. Our goal is to introduce a pragmatic manifestation in the context of an adversarial retrieval setting (e.g., the Web).",null,null
,,,
21,"The ranking functions employed by leading Web search engines are remarkably effective. However, there is still much room for improving retrieval effectiveness due to various reasons. Many of these are related to the adversarial",null,null
,,,
