,sentence,label,data
,,,
0,Learning by Example: Training Users with High-quality Query Suggestions,null,null
,,,
1,Morgan Harvey,null,null
,,,
2,MIS Department Northumbria University,null,null
,,,
3,"pwhq2@ Nenwocartshtlue,mUbKria.ac.uk",null,null
,,,
4,Claudia Hauff,null,null
,,,
5,Web Information Systems TU Delft,null,null
,,,
6,c.hThaeufNf@ethteurdlaenldfts.nl,null,null
,,,
7,David Elsweiler,null,null
,,,
8,I:IMSK University of Regensburg Germany,null,null
,,,
9,david@elsweiler.co.uk,null,null
,,,
10,ABSTRACT,null,null
,,,
11,"The queries submitted by users to search engines often poorly describe their information needs and represent a potential bottleneck in the system. In this paper we investigate to what extent it is possible to aid users in learning how to formulate better queries by providing examples of high-quality queries interactively during a number of search sessions. By means of several controlled user studies we collect quantitative and qualitative evidence that shows: (1) study participants are able to identify and abstract qualities of queries that make them highly eective, (2) after seeing high-quality example queries participants are able to themselves create queries that are highly eective, and, (3) those queries look similar to expert queries as defined in the literature. We conclude by discussing what the findings mean in the context of the design of interactive search systems.",null,null
,,,
12,"Categories and Subject Descriptors: H.3.3 Information Search and Retrieval General Terms: Measurement, Experimentation, Human Factors Keywords: Search expertise; Reflection; Behavioural Change; User Study",null,null
,,,
13,1. INTRODUCTION,null,null
,,,
14,"Much of the IR research in the last half century has, with great success, focused on developing improved retrieval models to enhance the utility of retrieval systems for the end user [41]. In this line of research search queries submitted to a retrieval system are considered as a given. The focus is placed on what to do systematically to return relevant documents given this limited representation of the user's information need. A complementary approach with potentially more scope for future performance gains is to focus on giving the system more to work with by assisting users in creating better queries for specific search systems [32, 24].",null,null
,,,
15,All three authors contributed equally to this work.,null,null
,,,
16,"Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than ACM must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from Permissions@acm.org. SIGIR'15, August 09 - 13, 2015, Santiago, Chile.",null,null
,,,
17,c 2015 ACM. ISBN 978-1-4503-3621-5/15/08 ...$15.00.,null,null
,,,
18,DOI: http://dx.doi.org/10.1145/2766462.2767731.,null,null
,,,
