,sentence,label,data
,,,
0,The Benefits of Magnitude Estimation Relevance Assessments for Information Retrieval Evaluation,null,null
,,,
1,Andrew Turpin,null,null
,,,
2,"University of Melbourne, Australia",null,null
,,,
3,aturpin@unimelb.edu.au,null,null
,,,
4,Falk Scholer,null,null
,,,
5,"RMIT University, Australia",null,null
,,,
6,falk.scholer@rmit.edu.au,null,null
,,,
7,Stefano Mizzaro,null,null
,,,
8,"University of Udine, Italy",null,null
,,,
9,mizzaro@uniud.it,null,null
,,,
10,Eddy Maddalena,null,null
,,,
11,"University of Udine, Italy",null,null
,,,
12,eddy.maddalena@uniud.it,null,null
,,,
13,ABSTRACT,null,null
,,,
14,"Magnitude estimation is a psychophysical scaling technique for the measurement of sensation, where observers assign numbers to stimuli in response to their perceived intensity. We investigate the use of magnitude estimation for judging the relevance of documents in the context of information retrieval evaluation, carrying out a large-scale user study across 18 TREC topics and collecting more than 50,000 magnitude estimation judgments. Our analysis shows that on average magnitude estimation judgments are rank-aligned with ordinal judgments made by expert relevance assessors. An advantage of magnitude estimation is that users can chose their own scale for judgments, allowing deeper investigations of user perceptions than when categorical scales are used.",Y,null
,,,
15,"We explore the application of magnitude estimation for IR evaluation, calibrating two gain-based effectiveness metrics, nDCG and ERR, directly from user-reported perceptions of relevance. A comparison of TREC system effectiveness rankings based on binary, ordinal, and magnitude estimation relevance shows substantial variation; in particular, the top systems ranked using magnitude estimation and ordinal judgments differ substantially. Analysis of the magnitude estimation scores shows that this effect is due in part to varying perceptions of relevance, in terms of how impactful relative differences in document relevance are perceived to be. We further use magnitude estimation to investigate gain profiles, comparing the currently assumed linear and exponential approaches with actual user-reported relevance perceptions. This indicates that the currently used exponential gain profiles in nDCG and ERR are mismatched with an average user, but perhaps more importantly that individual perceptions are highly variable. These results have direct implications for IR evaluation, suggesting that current assumptions about a single view of relevance being sufficient to represent a population of users are unlikely to hold. Finally, we demonstrate that magnitude estimation judgments can be reliably collected using crowdsourcing, and are competitive in terms of assessor cost.",Y,null
,,,
16,"Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than the author(s) must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from Permissions@acm.org. SIGIR '15, August 09­13, 2015, Santiago, Chile Copyright is held by the owner/author(s). Publication rights licensed to ACM. ACM 978-1-4503-3621-5/15/08 . . . $15.00. DOI: http://dx.doi.org/10.1145/2766462.2767760.",null,null
,,,
17,Categories and Subject Descriptors,null,null
,,,
18,H.3.4 [Information Storage and Retrieval]: Systems and software--performance evaluation.,null,null
,,,
19,Keywords,null,null
,,,
20,Magnitude estimation; evaluation; relevance assessments; relevance,null,null
,,,
21,General Terms,null,null
,,,
22,"Measurement, performance, experimentation",null,null
,,,
23,1. INTRODUCTION,null,null
,,,
24,"Relevance is an important concept in information retrieval (IR), and relevance judgments form the backbone of test collections, the most widely-used approach for the evaluation of IR system effectiveness. Document relevance judgments are typically made using ordinal scales, historically at a binary level, and more recently with multiple levels [28]. However, despite its importance, operationalizing relevance for the evaluation of IR systems remains a complicated issue; for example, when using an ordinal scale it is unclear how many relevance categories should be chosen [26].",null,null
,,,
25,"Magnitude estimation is psychophysical technique for measuring the sensation of a stimulus. Observers assign numbers to a series of stimuli, such that the numbers reflect the perceived difference in intensity of each item. The outcome is a ratio scale of the subjective perception of the stimulus; if a magnitude of 50 is assigned to one stimulus, and 10 to another, then it can be concluded that the two items are perceived in a 5:1 ratio of sensation [18]. While initially developed for the measurement of the sensation of physical stimuli such as the intensity of a light source, magnitude estimation has been successfully applied to the measurement of non-physical stimuli including the usability of interfaces [17].",null,null
,,,
26,"Being able to derive ratio scales of subjective perceptions of the intensity of stimuli, magnitude estimation may be a useful tool for measuring and better understanding document relevance judgments. The application of magnitude estimation in the IR field has been limited to the consideration of the relevance of carefully curated abstracts returned from bibliographic databases [10], and our own small-scale pilot study [15, 21]. While suggestive, these studies have been limited in terms of demonstrating the broader utility of the approach, or its direct application to IR evaluation. In this work, we investigate the larger-scale application of magnitude estimation to document relevance scaling, reporting on a user study over 18 TREC topics and obtaining judgments for 4,269 documents. This is also the first work to consider the direct application",Y,null
,,,
27,565,null,null
,,,
28,"of magnitude estimation to the evaluation of IR systems. Specifically, we consider three research questions.",null,null
,,,
29,"RQ1. Is the magnitude estimation technique suitable for gathering document-level relevance judgments, and are the resulting relevance scales reasonable with respect to our current knowledge of relevance judgments?",null,null
,,,
30,"RQ2. How does IR system evaluation change when ratio scale magnitude estimation relevance judgments are used to calibrate the gain levels of the widely-used nDCG and ERR evaluation metrics, compared to using arbitrarily set gain values for a pre-chosen number of ordinal levels?",null,null
,,,
31,"RQ3. Can magnitude estimation relevance scores provide additional insight into user perceptions of relevance, into actual gain values, and into individual gain profiles?",null,null
,,,
32,"In the next section, background material and related work are presented. Details of our user study and experimental methodology are provided in Section 3, and the analysis and discussion of our results, corresponding to the three research questions, is presented in Sections 4 to 6. Our conclusions and directions for future work are included in the final section of the paper.",null,null
,,,
33,2. BACKGROUND,null,null
,,,
34,"Relevance: Relevance is an important concept in information science and information retrieval [19]. IR system effectiveness is most often measured with reference to a test collection, consisting of a set of search topics, a static set of documents over which to search, and human-generated assessments that indicate, for an answer document returned by a search system in response to a topic, whether the document is relevant [28]. Typically, these assessments are made based on ""topical"" relevance, that is, a judgment of whether the document contains any information that is ""about"" the material that the search topic is asking for. Other aspects of relevance, such as novelty or contextual factors, are not considered [19]. Based on the relevance judgments, each ranked answer list returned by a system is aggregated into a number that reflects the system's performance, using a chosen effectiveness metric. The metrics themselves reflect either implicit or explicit assumptions about searcher behavior, for example that a relevant document that is returned by a system lower down a ranked list is of less value than if the same document had been returned earlier.",null,null
,,,
35,"Historically, relevance judgments were often made using a binary scale, where a document is classed as either being relevant to the search topic or not, and many effectiveness metrics use this notion of relevance, including precision, recall, mean average precision (MAP), and precision at a specified cutoff [28]. More recently, based on the observation that searchers can generally distinguish between more than two levels of relevance, evaluation metrics that incorporate multi-level relevance have been proposed [12]. Here, relevance is typically measured on an ordinal scale; metrics that include this more fine-grained notion of relevance include normalized discounted cumulative gain (nDCG) [12] and expected reciprocal rank (ERR) [5]. Some examples of previous choices for the number of levels in ordinal relevance scales include 3 (TREC Terabyte Track [6]), 4 (TREC newswire re-assessments by Sormunen [23]), and 6 (TREC Web Track [7]). Tang et al. [26] studied the self-reported confidence of psychology students when assessing the relevance of bibliographic records on ordinal scales from 2 to 11 levels, and observed that for this specific task, confidence is maximized with a 7-point scale. However, the issue is far from settled: in a broader survey of the optimal number of levels in an ordinal",Y,null
,,,
36,"response scale, Cox [8] concludes that there is no single number of response alternatives that is appropriate for all situations.",null,null
,,,
37,"Magnitude estimation: Magnitude estimation is a psychophysical technique for the construction of measurement scales for the intensity of sensations. An observer is asked to assign numbers to a series of presented stimuli. The first number can be any value that seems appropriate, with successive numbers then being assigned so that their relative differences reflect the observer's subjective perceptions of differences in stimulus intensity [9]. A key advantage of using magnitude estimation is that the responses are on a ratio scale of measurement [11], meaning that all mathematical operations may be applied to such data, and parametric statistical analysis can be carried out. In contrast, for ordinal (or ranked category) scales certain operations are not defined; for example, the median can be used as a measure of central tendency for ordinal data, but the mean is not meaningful since the distance between the ranked categories is not defined [22].",null,null
,,,
38,"Proposed by Stanley Stevens in the 1950s, magnitude estimation has a long history, and is the most widely-used psychophysical ratio scaling technique [11]. Initially developed to measure perceptions of physical stimuli, such as the brightness of a light or the loudness of a sound, magnitude estimation has also been successfully applied to a wide range of non-physical stimuli in the social sciences (including occupational preferences, political attitudes, the pleasantness of odors, and the appropriateness of punishments for crimes [25]), in medical applications (such as levels of pain, severity of mental disorders, and emotional stress from life events [11]), in user experience research (for example, as a measure of usability in HCI [17], and for healthcare applications [13]), and in linguistics (including judging the grammaticality of sentences [2]).",null,null
,,,
39,"In information retrieval research, Eisenberg [10] investigated magnitude estimation in the context of judging the relevance of document citations from a library database (including fields such as author, title, keywords and abstract), and concluded that participants are able to effectively use magnitude estimation in such a scenario. A related technique was used by Spink and Greisdorf [24], where participants in a user study were required to fill in a worksheet with information about the relevance of resources that were retrieved from a library database for personal research projects; this included indicating the level of relevance on a 4-level ordinal scale, providing feedback about other levels of relevance such as utility and motivation, and marking the level of relevance on a 77mm line. The line was then decoded into numbers at a 1mm resolution so was in effect a 78-level ordinal scale.",null,null
,,,
40,"To the best of our knowledge, the only previous investigation of magnitude estimation for document-level relevance judging in the context of IR evaluation was our own small pilot study [15, 21]. That study indicated that magnitude estimation could be useful for measuring document-level relevance, but used only 3 information need statements and 33 documents.",null,null
,,,
41,3. EXPERIMENTAL METHODOLOGY,null,null
,,,
42,In this section we describe the details of the experiments that were carried out to gather the needed relevance judgments.,null,null
,,,
43,3.1 Topics and Documents,null,null
,,,
44,"Document-level relevance assessments have traditionally been made using binary or multi-level ordinal scales. To compare magnitude estimation judgments to these approaches, we selected a set of search tasks and documents from the TREC-8 ad hoc collection, which studies informational search over newswire documents. The TREC-8 collection includes binary relevance judgments made by",Y,null
,,,
45,566,null,null
,,,
46,Topic # # docs units,null,null
,,,
47,402 278 460 403 111 182 405 214 354 407 212 350 408 188 310 410 212 350 415 179 295 416 174 287 418 243 402 420 164 270 421 342 567 427 195 322 428 253 419 431 203 335 440 264 437 442 408 677 445 210 347 448 419 695,null,null
,,,
48,Sum: 4269 7059 Percentage:,null,null
,,,
49,H,null,null
,,,
50,N,null,null
,,,
51,k,null,null
,,,
52,k,null,null
,,,
53,Back,null,null
,,,
54,Fail,null,null
,,,
55,0 1 2+ 0 1 2+,null,null
,,,
56,LA111689-0162 FBIS3-10954,null,null
,,,
57,452 8 0 426 18 16,null,null
,,,
58,LA092890-0067 LA071290-0133 178 4 0 120 19 43,null,null
,,,
59,LA061490-0072 FBIS3-13680,null,null
,,,
60,347 6 1 322 20 12,null,null
,,,
61,FT921-6003 FR940407-2-00084 346 3 1 324 9 17,null,null
,,,
62,FT923-6110 LA062290-0070 306 4 0 266 16 28,null,null
,,,
63,FBIS4-64577 FBIS4-44440,null,null
,,,
64,346 4 0 326 10 14,null,null
,,,
65,FBIS3-60025 FBIS4-10862,null,null
,,,
66,289 4 2 255 23 17,null,null
,,,
67,FBIS4-49091 LA112590-0107 286 1 0 267 12 8,null,null
,,,
68,LA102189-0167 FT924-6324,null,null
,,,
69,394 8 0 372 15 15,null,null
,,,
70,LA121590-0108 LA112690-0001 266 4 0 256 4 10,null,null
,,,
71,FT941-428 LA073189-0033 554 11 2 537 16 14,null,null
,,,
72,FT943-5736 LA080590-0077 315 7 0 214 52 56,null,null
,,,
73,FT943-9226 FBIS3-20994,null,null
,,,
74,412 6 1 396 13 10,null,null
,,,
75,FBIS3-46247 FT944-5962,null,null
,,,
76,333 2 0 296 27 12,null,null
,,,
77,FT942-3471 LA020589-0074 427 10 0 397 19 21,null,null
,,,
78,LA011390-0057 FT923-4524,null,null
,,,
79,672 5 0 629 25 23,null,null
,,,
80,FT924-8156 LA031989-0092 334 11 2 334 10 3,null,null
,,,
81,LA080190-0139 FBIS3-16837,null,null
,,,
82,687 8 0 652 21 22,null,null
,,,
83,6944 106 9 6389 329 341 98 2 0 90 5 5,null,null
,,,
84,"Table 1: Topics, number of documents, number of units, Hk, Nk, number of back buttons usage, number of failures in the (c)",null,null
,,,
85,"and (d) checks, as detailed in the text.",null,null
,,,
86,"NIST assessors [27]. Subsequently, Sormunen [23] carried out a re-judging exercise where a subset of topics and documents were judged by a group of six Master's students of information studies, fluent in English although not native speakers, on a 4-level ordinal relevance scale: N­not relevant (0); M­marginally relevant (1); R­relevant (2); H­highly relevant (3).",null,null
,,,
