,sentence,label,data
0,Short Research Papers 2B: Recommendation and Evaluation,null,null
1,,null,null
2,"SIGIR '19, July 21­25, 2019, Paris, France",null,null
3,,null,null
4,A New Perspective on Score Standardization,null,null
5,,null,null
6,Julián Urbano,null,null
7,Delft University of Technology The Netherlands,null,null
8,urbano.julian@gmail.com,null,null
9,,null,null
10,Harlley Lima,null,null
11,Delft University of Technology The Netherlands,null,null
12,h.a.delima@tudelft.nl,null,null
13,,null,null
14,Alan Hanjalic,null,null
15,Delft University of Technology The Netherlands,null,null
16,a.hanjalic@tudelft.nl,null,null
17,,null,null
18,ABSTRACT,null,null
19,"In test collection based evaluation of IR systems, score standardization has been proposed to compare systems across collections and minimize the effect of outlier runs on specific topics. The underlying idea is to account for the difficulty of topics, so that systems are scored relative to it. Webber et al. first proposed standardization through a non-linear transformation with the standard normal distribution, and recently Sakai proposed a simple linear transformation. In this paper, we show that both approaches are actually special cases of a simple standardization which assumes specific distributions for the per-topic scores. From this viewpoint, we argue that a transformation based on the empirical distribution is the most appropriate choice for this kind of standardization. Through a series of experiments on TREC data, we show the benefits of our proposal in terms of score stability and statistical test behavior.",null,null
20,KEYWORDS,null,null
21,"Evaluation, test collection, score standardization, statistical testing",null,null
22,"ACM Reference Format: Julián Urbano, Harlley Lima, and Alan Hanjalic. 2019. A New Perspective on Score Standardization. In Proceedings of the 42nd International ACM SIGIR Conference on Research and Development in Information Retrieval",null,null
23,1 INTRODUCTION,null,null
24,In the traditional Cranfield paradigm for test collection based evaluation in Information Retrieval,null,null
25,"Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than the author(s) must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from permissions@acm.org. SIGIR '19, July 21­25, 2019, Paris, France © 2019 Copyright held by the owner/author(s). Publication rights licensed to ACM. ACM ISBN 978-1-4503-6172-9/19/07. . . $15.00 https://doi.org/10.1145/3331184.3331315",null,null
26,,null,null
27,"instance the bottom-left plot in Figure 1). Therefore, the observed",null,null
28,,null,null
29,differences in mean scores may be disproportionately due to a few,null,null
30,,null,null
31,"topics in the collection [2, 9].",null,null
32,,null,null
33,"To mitigate this problem, Webber et al. [9] proposed a two-step",null,null
34,,null,null
35,standardization process to look at scores relative to the difficulty of,null,null
36,,null,null
37,"the topic. First, given a raw effectiveness score x of some system",null,null
38,,null,null
39,"on some topic, a traditional z-score is computed",null,null
40,,null,null
41,"x -µ z=  ,",null,null
42,,null,null
43,(1),null,null
44,,null,null
45,where µ and  are the mean and standard deviation of the system,null,null
46,,null,null
47,scores for the topic. The effect is twofold: whether the topic is easy,null,null
48,,null,null
49,or hard,null,null
50,,null,null
51,zero; and whether systems perform similarly for the topic or not,null,null
52,,null,null
53,"(low or high  ), the z-scores have unit variance. Thanks to this first",null,null
54,,null,null
55,"step, all topics contribute equally to the final scores.",null,null
56,,null,null
57,The second step is a transformation of the z-score so that the final,null,null
58,,null,null
59,"standardized score is bounded between 0 and 1, as is customary",null,null
60,,null,null
61,in IR measures. Webber et al. [9] propose to use the cumulative,null,null
62,,null,null
63,distribution function,null,null
64,,null,null
65,which naturally maps z-scores on to the unit interval:,null,null
66,,null,null
67,=,null,null
68,,null,null
69,(2),null,null
